"Conditions","Conditions"
"Wrong request.","Requête incorrecte."
"Rich snippet extender has been deleted.","L'extension de rich snippet a été supprimée."
"Edit rich snippet extender","Modifier l'extension de rich snippet"
"Rich snippet extender with ID ""%1"" does not exist.","L'extension de rich snippet avec l'ID ""%1"" n'existe pas."
"Rich snippet extenders","Extensions de rich snippets"
"New rich snippet extender","Nouvelle extension de rich snippet"
"No data to save.","Aucune donnée à enregistrer."
"Rich snippet extender no longer exists.","L'extension de rich snippet n'existe plus."
"Incorrect JSON format","Format JSON incorrect"
"Rich snippet extender has been saved.","L'extension de rich snippet a été enregistrée."
"Disabled","Désactivé"
"Use description","Utiliser la description"
"Use meta description","Utiliser la description méta"
"No","Non"
"Yes, for all categories","Oui, pour toutes les catégories"
"Yes, only for non-filtered categories","Oui, uniquement pour les catégories non filtrées"
"Full (OfferCatalog)","Complet (OfferCatalog)"
"Simple (ItemList)","Simple (ItemList)"
"Aggregate Product","Produit agrégé"
"Current page","Page actuelle"
"Entire category","Catégorie entière"
"Yes, for all landing pages","Oui, pour toutes les pages de destination"
"Yes, only for non-filtered landing pages","Oui, uniquement pour les pages de destination non filtrées"
"Entire landing page","Page de destination entière"
"Homepage only","Page d'accueil uniquement"
"All CMS pages","Toutes les pages CMS"
"Specific CMS pages","Pages CMS spécifiques"
"Add from store information","Ajouter depuis les informations du magasin"
"Add manually","Ajouter manuellement"
"Default (from configuration)","Par défaut (depuis la configuration)"
"WebPage","WebPage"
"Article","Article"
"BlogPosting","BlogPosting"
"AboutPage","AboutPage"
"ContactPage","ContactPage"
"Use short description","Utiliser la description courte"
"Configure manually","Configurer manuellement"
"New for all products","Nouveau pour tous les produits"
"Kilograms (kg)","Kilogrammes (kg)"
"Pounds (lb)","Livres (lb)"
"Grams (g)","Grammes (g)"
"Search in the catalog of products","Rechercher dans le catalogue de produits"
"Search in the blog articles","Rechercher dans les articles de blog"
"Summary card","Carte récapitulative"
"Summary card with large image","Carte récapitulative avec grande image"
"The rich snippet extender with ID ""%1"" doesn't exist.","L'extension de rich snippet avec l'ID ""%1"" n'existe pas."
"Edit","Modifier"
"Delete","Supprimer"
"Delete record with ID %1","Supprimer l'enregistrement avec l'ID %1"
"Are you sure you want to delete this rich snippet extender?","Êtes-vous sûr de vouloir supprimer cette extension de rich snippet ?"
"Template variables","Variables de modèle"
"learn more","en savoir plus"
"Double click on a variable to insert it into the field","Double-cliquez sur une variable pour l'insérer dans le champ"
"Learn more about template variables","En savoir plus sur les variables de modèle"
"Rich snippets and OpenGraph","Rich snippets et OpenGraph"
"Product page","Page produit"
"Configure rich snippets for product pages to improve search engine visibility. These settings enhance how your products appear in search results with additional information like pricing, availability, and reviews.","Configurez les rich snippets pour les pages produits afin d'améliorer la visibilité dans les moteurs de recherche. Ces paramètres améliorent la façon dont vos produits apparaissent dans les résultats de recherche avec des informations supplémentaires comme les prix, la disponibilité et les avis."
"Delete wrong snippets automatically","Supprimer automatiquement les snippets incorrects"
"Automatically removes incorrect structured data from product pages. Helps maintain clean markup and prevent schema validation issues.","Supprime automatiquement les données structurées incorrectes des pages produits. Aide à maintenir un balisage propre et à prévenir les problèmes de validation de schéma."
"Enable rich snippet","Activer le rich snippet"
"Activates structured data markup for product pages. This is the master switch for all product-related rich snippets.","Active le balisage de données structurées pour les pages produits. Il s'agit du commutateur principal pour tous les rich snippets liés aux produits."
"Item name length","Longueur du nom de l'élément"
"Maximum character length for item name in structured data.","Longueur maximale en caractères pour le nom de l'élément dans les données structurées."
"The maximum value recommended by Google is 150. Values below 25 will default to 150. If the value is empty or 0, no limit is applied.","La valeur maximale recommandée par Google est 150. Les valeurs inférieures à 25 seront par défaut à 150. Si la valeur est vide ou 0, aucune limite n'est appliquée."
"Item price","Prix de l'élément"
"Includes product pricing information in OpenGraph and Rich Snippets. Warning: disabling this will remove price from structured data and may cause Google Rich Results validation errors, as price is required for valid Product rich snippets.","Inclut les informations de prix des produits dans OpenGraph et Rich Snippets. Avertissement : la désactivation supprimera le prix des données structurées et peut provoquer des erreurs de validation Google Rich Results, car le prix est requis pour les rich snippets Produit valides."
"Single price mode","Mode prix unique"
"When enabled, uses schema.org Offer type with a single price value instead of AggregateOffer type with price ranges. This changes the structured data from multiple offer aggregation to a single offer representation.","Lorsqu'il est activé, utilise le type schema.org Offer avec une valeur de prix unique au lieu du type AggregateOffer avec des plages de prix. Cela modifie les données structurées d'une agrégation de plusieurs offres à une représentation d'offre unique."
"Include price valid until","Inclure prix valide jusqu'au"
"This helps search engines understand price temporal validity and can improve accuracy in price comparison features. Useful for promotional pricing, time-limited offers, or regularly updated pricing structures.","Cela aide les moteurs de recherche à comprendre la validité temporelle des prix et peut améliorer la précision des fonctionnalités de comparaison de prix. Utile pour les prix promotionnels, les offres limitées dans le temps ou les structures de prix régulièrement mises à jour."
"Item description","Description de l'élément"
"Controls which product description field is used in structured data. Select the most appropriate source for comprehensive product information.","Contrôle quel champ de description de produit est utilisé dans les données structurées. Sélectionnez la source la plus appropriée pour des informations complètes sur le produit."
"Item description length","Longueur de la description de l'élément"
"Maximum character length for item description in structured data.","Longueur maximale en caractères pour la description de l'élément dans les données structurées."
"The maximum value recommended by Google is 5000. Values below 25 will default to 5000. If the value is empty or 0, no limit is applied.","La valeur maximale recommandée par Google est 5000. Les valeurs inférieures à 25 seront par défaut à 5000. Si la valeur est vide ou 0, aucune limite n'est appliquée."
"Item image","Image de l'élément"
"Includes product images in structured data. This enables visual representation of products in search results and rich snippets.","Inclut les images de produits dans les données structurées. Cela permet une représentation visuelle des produits dans les résultats de recherche et les rich snippets."
"Item availability","Disponibilité de l'élément"
"Shows product inventory status in structured data. This helps communicate stock levels to potential customers directly in search results.","Affiche le statut des stocks de produits dans les données structurées. Cela aide à communiquer les niveaux de stock aux clients potentiels directement dans les résultats de recherche."
"Payment methods","Modes de paiement"
"Lists accepted payment methods in structured data. This provides transparency about payment options before visitors click through.","Liste les modes de paiement acceptés dans les données structurées. Cela offre une transparence sur les options de paiement avant que les visiteurs cliquent."
"Delivery methods","Modes de livraison"
"Includes shipping and delivery options in structured data. This helps set customer expectations regarding fulfillment methods.","Inclut les options d'expédition et de livraison dans les données structurées. Cela aide à définir les attentes des clients concernant les méthodes d'exécution."
"Product category","Catégorie de produit"
"Displays category information in product structured data. This helps establish product classification context for search engines.","Affiche les informations de catégorie dans les données structurées de produit. Cela aide à établir le contexte de classification des produits pour les moteurs de recherche."
"Manufacturer part number","Numéro de pièce fabricant"
"Includes manufacturer part numbers in structured data. This improves discoverability for specific product searches by technical identifiers.","Inclut les numéros de pièce fabricant dans les données structurées. Cela améliore la découvrabilité pour les recherches de produits spécifiques par identifiants techniques."
"Manufacturer part number attribute","Attribut de numéro de pièce fabricant"
"Specify which product attribute contains the manufacturer part number data. The system will read this attribute to populate structured data.","Spécifiez quel attribut de produit contient les données de numéro de pièce fabricant. Le système lira cet attribut pour renseigner les données structurées."
"Brand attribute","Attribut de marque"
"Specify which product attribute contains brand information. This maps your existing brand data to structured markup.","Spécifiez quel attribut de produit contient les informations de marque. Cela associe vos données de marque existantes au balisage structuré."
"Model attribute","Attribut de modèle"
"Specify which product attribute contains model information. Helps identify specific product models in structured data.","Spécifiez quel attribut de produit contient les informations de modèle. Aide à identifier des modèles de produits spécifiques dans les données structurées."
"Color attribute","Attribut de couleur"
"Specify which product attribute contains color information. Important for product variants and filtering in rich results.","Spécifiez quel attribut de produit contient les informations de couleur. Important pour les variantes de produits et le filtrage dans les rich results."
"Size attribute","Attribut de taille"
"Specify which product attribute contains size information. Relevant for apparel and dimensional product data.","Spécifiez quel attribut de produit contient les informations de taille. Pertinent pour les vêtements et les données de produits dimensionnels."
"Material attribute","Attribut de matériau"
"Specify which product attribute contains material information (e.g. ""material"", ""fabric""). Outputs as a direct schema.org property on Product.","Spécifiez quel attribut de produit contient les informations de matériau (p. ex. ""matériau"", ""tissu""). Affiché comme propriété schema.org directe sur le Produit."
"Pattern attribute","Attribut de motif"
"Specify which product attribute contains pattern information (e.g. ""pattern""). Outputs as a direct schema.org property on Product.","Spécifiez quel attribut de produit contient les informations de motif (p. ex. ""motif""). Affiché comme propriété schema.org directe sur le Produit."
"Weight unit","Unité de poids"
"Select the standard measurement unit used for product weights. Ensures consistent weight representation in structured data.","Sélectionnez l'unité de mesure standard utilisée pour les poids de produits. Garantit une représentation cohérente du poids dans les données structurées."
"Dimensions","Dimensions"
"Enable dimensional measurements in structured data. Important for physical products where size matters to customers.","Activez les mesures dimensionnelles dans les données structurées. Important pour les produits physiques où la taille compte pour les clients."
"Unit","Unité"
"Specify the measurement unit for product dimensions (e.g., inches, cm). Maintains consistency in dimensional representation.","Spécifiez l'unité de mesure pour les dimensions des produits (p. ex., pouces, cm). Maintient la cohérence dans la représentation dimensionnelle."
"Height attribute","Attribut de hauteur"
"Specify which product attribute contains height measurements. Maps your height data to structured markup.","Spécifiez quel attribut de produit contient les mesures de hauteur. Associe vos données de hauteur au balisage structuré."
"Width attribute","Attribut de largeur"
"Specify which product attribute contains width measurements. Maps your width data to structured markup.","Spécifiez quel attribut de produit contient les mesures de largeur. Associe vos données de largeur au balisage structuré."
"Depth attribute","Attribut de profondeur"
"Specify which product attribute contains depth measurements. Maps your depth data to structured markup.","Spécifiez quel attribut de produit contient les mesures de profondeur. Associe vos données de profondeur au balisage structuré."
"Product condition","État du produit"
"Indicate whether products are new, used, or refurbished. This is important for marketplaces and resellers.","Indiquez si les produits sont neufs, usagés ou reconditionnés. C'est important pour les places de marché et les revendeurs."
"Condition attribute","Attribut d'état"
"Specify which product attribute contains condition information. The system will read this attribute for condition data.","Spécifiez quel attribut de produit contient les informations d'état. Le système lira cet attribut pour les données d'état."
"New attribute value","Valeur d'attribut nouveau"
"Specify the exact attribute value that indicates a product is new. This maps your internal values to schema.org standards.","Spécifiez la valeur d'attribut exacte qui indique qu'un produit est neuf. Cela associe vos valeurs internes aux normes schema.org."
"Used attribute value","Valeur d'attribut usagé"
"Specify the exact attribute value that indicates a product is used. This maps your internal values to schema.org standards.","Spécifiez la valeur d'attribut exacte qui indique qu'un produit est usagé. Cela associe vos valeurs internes aux normes schema.org."
"Refurbished attribute value","Valeur d'attribut reconditionné"
"Specify the exact attribute value that indicates a product is refurbished. This maps your internal values to schema.org standards.","Spécifiez la valeur d'attribut exacte qui indique qu'un produit est reconditionné. Cela associe vos valeurs internes aux normes schema.org."
"Damaged attribute value","Valeur d'attribut endommagé"
"Specify the exact attribute value that indicates a product is damaged. This maps your internal values to schema.org standards.","Spécifiez la valeur d'attribut exacte qui indique qu'un produit est endommagé. Cela associe vos valeurs internes aux normes schema.org."
"Individual review markup","Balisage d'avis individuel"
"Include markup for each individual product review. This enables rich display of review content in search results beyond aggregate ratings.","Incluez le balisage pour chaque avis produit individuel. Cela permet un affichage enrichi du contenu des avis dans les résultats de recherche au-delà des notes agrégées."
"Add rich snippets for product variants","Ajouter des rich snippets pour les variantes de produit"
