"Conditions","الشروط"
"Rule conditions (leave blank to use only regular expression)","شروط القاعدة (اتركها فارغة لاستخدام التعبير النظامي فقط)"
"Checklist","قائمة التحقق"
"Duplicateinfo","معلومات التكرار"
"Store Id","معرّف المتجر"
"Category Path","مسار الفئة"
"Category Id","معرّف الفئة"
"Current request path","مسار الطلب الحالي"
"URL key","مفتاح URL"
"Root Catalog (ID: 1)","الكتالوج الجذري (ID: 1)"
"(ID: %1)","(ID: %1)"
"Redirects","إعادة التوجيه"
"Canonical rewrite","إعادة كتابة canonical"
"Cross-links","الروابط المتقاطعة"
"Sitemap","خريطة الموقع"
"Settings","الإعدادات"
"User manual","دليل المستخدم"
"Get support","الحصول على الدعم"
"Add New Redirect","إضافة إعادة توجيه جديدة"
"Import/Export redirects","استيراد/تصدير عمليات إعادة التوجيه"
"Rewrite manager","مدير إعادة الكتابة"
"Add rewrite","إضافة إعادة كتابة"
"Store group","مجموعة المتجر"
"Hreflang","Hreflang"
"Store","المتجر"
"Add","إضافة"
"(Id: %1)","(Id: %1)"
"Stores","المتاجر"
"button_label","button_label"
"Attribute","السمة"
"Usage","الاستخدام"
"Page type","نوع الصفحة"
"Remove parent category path","إزالة مسار الفئة الأصلية"
"URL pattern","نمط URL"
"Option","الخيار"
"Meta title","عنوان ميتا"
"Meta keywords","كلمات ميتا المفتاحية"
"Meta description","وصف ميتا"
"Title (H1)","العنوان (H1)"
"SEO description","وصف SEO"
"Product short description","وصف المنتج المختصر"
"Product description","وصف المنتج"
"Add SEO Template","إضافة قالب SEO"
"Home","الرئيسية"
"Go to Home Page","الذهاب إلى الصفحة الرئيسية"
"SEO","SEO"
"This row no longer exists.","هذا الصف لم يعد موجوداً."
"New canonical rewrite","إعادة كتابة canonical جديدة"
"%1 item(s) was removed","تمت إزالة %1 عنصر(عناصر)"
"Please select item(s)","يرجى تحديد عنصر(عناصر)"
"Edit canonical rewrite ID: %1","تعديل إعادة الكتابة canonical بالمعرّف: %1"
"Total of %1 record(s) were successfully disabled","تم تعطيل %1 سجل(سجلات) بنجاح"
"Total of %1 record(s) were successfully enabled","تم تمكين %1 سجل(سجلات) بنجاح"
"Row was saved.","تم حفظ الصف."
"No data to save.","لا توجد بيانات للحفظ."
"SEO Checklist","قائمة تحقق SEO"
"Create a unique url key for all of your categories listed on this table. If the table is empty, this means that you do not have duplicate keys and can push the ""<a href=""%1"" target=""_blank"">Remove parent category path</a>"" button to change category urls.","أنشئ مفتاح URL فريداً لجميع فئاتك المدرجة في هذا الجدول. إذا كان الجدول فارغاً، فهذا يعني أنه لا توجد مفاتيح مكررة ويمكنك النقر على زر ""<a href=""%1"" target=""_blank"">إزالة مسار الفئة الأصلية</a>"" لتغيير عناوين URL للفئات."
"Category duplicate urls","عناوين URL المكررة للفئات"
"Add redirect","إضافة إعادة توجيه"
"Item was successfully deleted","تم حذف العنصر بنجاح"
"Edit redirect","تعديل إعادة التوجيه"
"The item does not exist.","العنصر غير موجود."
"Total of %1 record(s) were successfully deleted","تم حذف %1 سجل(سجلات) بنجاح"
"Item was successfully saved","تم حفظ العنصر بنجاح"
"Unable to find an item to save","تعذّر العثور على عنصر للحفظ"
"There is no sample file for this entity.","لا يوجد ملف نموذجي لهذا الكيان."
"%1 records were inserted or updated","تم إدراج أو تحديث %1 سجل"
"URLs have been processed.","تمت معالجة عناوين URL."
"Something went wrong.","حدث خطأ ما."
"Missing canonical URL.","canonical URL مفقود."
"%1 canonical on the page.","%1 canonical في الصفحة."
"Canonical created not using Mirasvit SEO extension.","تم إنشاء canonical دون استخدام إضافة Mirasvit SEO."
"There is no H1 tag on the page.","لا يوجد وسم H1 في الصفحة."
"One H1 tag","وسم H1 واحد"
"%1 H1 tags.","%1 وسوم H1."
"Length = %1. Recommended length up to %2 characters.","الطول = %1. الطول الموصى به حتى %2 حرف."
"Meta title not defined.","عنوان ميتا غير محدد."
"Meta description not defined.","وصف ميتا غير محدد."
"Meta keywords not defined.","كلمات ميتا المفتاحية غير محددة."
"Some alt tags are empty or missing.","بعض وسوم alt فارغة أو مفقودة."
"Total number of images","إجمالي عدد الصور"
"Images without alt attribute","الصور بدون سمة alt"
"Images with empty alt attribute","الصور ذات سمة alt الفارغة"
"%1 images with correct alt attribute.","%1 صورة بسمة alt صحيحة."
"Conditions combination","مجموعة الشروط"
"Categories and layered navigation","الفئات والتنقل المتعدد الطبقات"
"Products","المنتجات"
"Product attributes","سمات المنتج"
"Products additional","معلومات إضافية عن المنتجات"
"Attribute set","مجموعة السمات"
"Category","الفئة"
"Created (days ago)","تاريخ الإنشاء (منذ أيام)"
"Updated (days ago)","تاريخ التحديث (منذ أيام)"
"Quantity","الكمية"
"Price - Final Price","السعر - السعر النهائي"
"Percent Discount","نسبة الخصم"
"Open Chooser","فتح المحدد"
"Disabled","معطّل"
"Enabled for all websites","مُفعّل لجميع المواقع"
"Configure","ضبط الإعدادات"
"Add automatically","إضافة تلقائية"
"Add all selected options","إضافة جميع الخيارات المحددة"
"Add if only one option selected","إضافة إذا تم تحديد خيار واحد فقط"
"Without filters","بدون فلاتر"
"With all filters","مع جميع الفلاتر"
"Default","افتراضي"
"Parent product","المنتج الأصلي"
"Use Robots meta header","استخدام رأس ميتا Robots"
"Enabled","مُفعّل"
"Enabled if cookie exist","مُفعّل إذا كانت ملفات تعريف الارتباط موجودة"
"Right","يمين"
"Left","يسار"
"Active","نشط"
"Inactive","غير نشط"
"Don't change","لا تغيير"
"NOINDEX, NOFOLLOW","NOINDEX, NOFOLLOW"
"NOINDEX, FOLLOW","NOINDEX, FOLLOW"
"INDEX, NOFOLLOW","INDEX, NOFOLLOW"
"INDEX, FOLLOW","INDEX, FOLLOW"
"Default first","الافتراضي أولاً"
"Custom","مخصص"
"Brand only","العلامة التجارية فقط"
"Category + Brand","الفئة + العلامة التجارية"
"Direct link","رابط مباشر"
"Shortest path","أقصر مسار"
"Longest path","أطول مسار"
"Long","طويل"
"Short","قصير"
"Include categories path to Product URLs","تضمين مسار الفئات في عناوين URL للمنتجات"
"Don't include categories path to Product URLs","لا تتضمّن مسار الفئات في عناوين URL للمنتجات"
"301 Moved permanently","301 نقل دائم"
"302 Object moved","302 نقل مؤقت"
"307 Temporary redirect","307 إعادة توجيه مؤقتة"
"Total number of products with reviews","إجمالي عدد المنتجات ذات التقييمات"
"Total number of reviews","إجمالي عدد التقييمات"
