"Add new link","Přidat nový odkaz"
"Import/Export links","Import/Export odkazů"
"[deleted]","[smazáno]"
"All store views","Všechna zobrazení obchodu"
"There is no sample file for this entity.","Pro tuto entitu neexistuje vzorový soubor."
"Unable to create export file.","Nelze vytvořit soubor pro export."
"Unable to send export file.","Nelze odeslat soubor pro export."
"Cross-links","Křížové odkazy"
"%1 records were inserted or updated","%1 záznamů bylo vloženo nebo aktualizováno"
"New link","Nový odkaz"
"Item was successfully deleted","Položka byla úspěšně smazána"
"Edit link '%1'","Upravit odkaz '%1'"
"The link does not exist.","Odkaz neexistuje."
"Please select item(s)","Vyberte prosím položku (položky)"
"Total of %1 record(s) were successfully deleted","Celkem %1 záznam(ů) bylo úspěšně smazáno"
"Total of %1 record(s) were successfully disabled","Celkem %1 záznam(ů) bylo úspěšně deaktivováno"
"Total of %1 record(s) were successfully enabled","Celkem %1 záznam(ů) bylo úspěšně aktivováno"
"Link was successfully saved","Odkaz byl úspěšně uložen"
"Unable to find link to save","Nepodařilo se najít odkaz k uložení"
"First","První"
"Last","Poslední"
"Random","Náhodný"
"CMS page","CMS stránka"
"CMS block","CMS blok"
"Category description","Popis kategorie"
"Product short description","Krátký popis produktu"
"Product full description","Plný popis produktu"
"Product attributes","Atributy produktu"
"SEO description","SEO popis"
"Blog MX post content","Obsah příspěvku Blog MX"
"Mageplaza Blog post content","Obsah příspěvku Mageplaza Blog"
"_self (in current window)","_self (v aktuálním okně)"
"_blank (in new window)","_blank (v novém okně)"
"_self (in own frameset)","_self (ve vlastním setu rámců)"
"_top (in full current browser window)","_top (v plném aktuálním okně prohlížeče)"
"Back","Zpět"
"Delete","Smazat"
"Are you sure you want to do this?","Opravdu to chcete provést?"
"Reset","Resetovat"
"Resets input fields values","Resetuje hodnoty vstupních polí"
"Save and continue edit","Uložit a pokračovat v úpravách"
"Save","Uložit"
"Edit","Upravit"
"SEO Autolink Import","Import SEO Autolink"
"Import links (.csv)","Importovat odkazy (.csv)"
"Import links","Importovat odkazy"
"This is a required field.","Toto pole je povinné."
"Download example CSV file for autolink import","Stáhnout vzorový CSV soubor pro import automatických odkazů"
"Example of CSV file","Příklad CSV souboru"
"SEO Autolink Export","Export SEO Autolink"
"Export links (.csv)","Exportovat odkazy (.csv)"
"Export links","Exportovat odkazy"
"Cross-links settings","Nastavení křížových odkazů"
"Configure how cross-linking behaves across your site content to enhance internal linking structure.","Nakonfigurujte chování křížového propojení v obsahu vašeho webu pro vylepšení struktury interních odkazů."
"Allowed areas for cross-links","Povolené oblasti pro křížové odkazy"
"Select specific content areas where cross-links should be automatically inserted. Limiting to relevant areas improves page load performance.","Vyberte konkrétní oblasti obsahu, kde mají být křížové odkazy automaticky vkládány. Omezení na relevantní oblasti zlepšuje výkon načítání stránky."
"Restrict link placement in tags","Omezit umístění odkazů v tazích"
"Specify HTML tags where links should not be inserted (e.g., h1, h2, a, strong). Enter one tag per line without brackets.","Zadejte HTML tagy, do kterých by neměly být vkládány odkazy (např. h1, h2, a, strong). Zadejte jeden tag na řádek bez závorek."
"Prevent adding cross-links on pages","Zakázat přidávání křížových odkazů na stránkách"
"Enter URL patterns (one per line) where cross-links should be disabled. Use * as wildcard (e.g., catalog/product/* or */checkout).","Zadejte vzory URL (jeden na řádek), kde mají být křížové odkazy zakázány. Použijte * jako zástupný znak (např. catalog/product/* nebo */checkout)."
"Template paths for link insertion","Cesty šablon pro vkládání odkazů"
"Specify template file paths (one per line) where links should be inserted. Note: Processing will fail for templates exceeding 1000 HTML tags due to memory constraints.","Zadejte cesty souborů šablon (jeden na řádek), kam mají být vkládány odkazy. Poznámka: Zpracování selže u šablon přesahujících 1000 HTML tagů kvůli omezením paměti."
"Max number of links per page","Maximální počet odkazů na stránku"
"Set maximum number of auto-generated cross-links per page. Lower values may improve page load time and prevent over-optimization.","Nastavte maximální počet automaticky generovaných křížových odkazů na stránku. Nižší hodnoty mohou zlepšit dobu načítání stránky a zabránit nadměrné optimalizaci."
"Avoid duplicate URLs in cross-links","Vyhnout se duplicitním URL v křížových odkazech"
"When enabled, if multiple keywords point to the same URL, only the first occurrence will be linked. This prevents duplicate links and improves page load performance.","Pokud je povoleno a více klíčových slov odkazuje na stejnou URL, bude propojen pouze první výskyt. Tím se zabrání duplicitním odkazům a zlepší výkon načítání stránky."
"General information","Obecné informace"
"Keyword","Klíčové slovo"
"URL","URL"
"URL target","Cíl URL"
"URL title","Titulek URL"
"Nofollow","Nofollow"
"Number of substitutions","Počet náhrad"
"Sort order","Pořadí řazení"
"Occurrence","Výskyt"
"Is active","Aktivní"
"Active from","Aktivní od"
"Active to","Aktivní do"
"Visible in store view","Viditelné v zobrazení obchodu"
"Change status","Změnit stav"
"Active","Aktivní"
"Inactive","Neaktivní"
"Delete items","Smazat položky"
"Are you sure you want to delete the selected items?","Opravdu chcete smazat vybrané položky?"
"ID","ID"
"Store view","Zobrazení obchodu"
"Status","Stav"
"Is nofollow","Nofollow"
"Max replacements","Max. náhrad"
"Link type","Typ odkazu"
"Entity ID","ID entity"
"Enter the product ID or category ID. The current URL for this entity will be resolved automatically when the link is inserted.","Zadejte ID produktu nebo ID kategorie. Aktuální URL pro tuto entitu bude automaticky vyřešena při vložení odkazu."
"Custom URL","Vlastní URL"
"Product by ID","Produkt podle ID"
"Category by ID","Kategorie podle ID"
"URL is required for custom URL links.","URL je povinná pro vlastní URL odkazy."
"Entity ID is required for product/category links.","ID entity je povinné pro odkazy na produkt/kategorii."
