"Add new link","Nieuwe link toevoegen"
"Import/Export links","Links importeren/exporteren"
"[deleted]","[verwijderd]"
"All store views","Alle winkelweergaven"
"There is no sample file for this entity.","Er is geen voorbeeldbestand voor deze entiteit."
"Unable to create export file.","Kan exportbestand niet aanmaken."
"Unable to send export file.","Kan exportbestand niet verzenden."
"Cross-links","Kruislinks"
"%1 records were inserted or updated","%1 records zijn ingevoegd of bijgewerkt"
"New link","Nieuwe link"
"Item was successfully deleted","Item is verwijderd"
"Edit link '%1'","Link '%1' bewerken"
"The link does not exist.","De link bestaat niet."
"Please select item(s)","Selecteer item(s)"
"Total of %1 record(s) were successfully deleted","In totaal %1 record(s) zijn verwijderd"
"Total of %1 record(s) were successfully disabled","In totaal %1 record(s) zijn uitgeschakeld"
"Total of %1 record(s) were successfully enabled","In totaal %1 record(s) zijn ingeschakeld"
"Link was successfully saved","Link is opgeslagen"
"Unable to find link to save","Kan geen link vinden om op te slaan"
"First","Eerste"
"Last","Laatste"
"Random","Willekeurig"
"CMS page","CMS-pagina"
"CMS block","CMS-blok"
"Category description","Categoriebeschrijving"
"Product short description","Korte productbeschrijving"
"Product full description","Volledige productbeschrijving"
"Product attributes","Productattributen"
"SEO description","SEO-beschrijving"
"Blog MX post content","Blog MX berichtinhoud"
"Mageplaza Blog post content","Mageplaza Blog berichtinhoud"
"_self (in current window)","_self (in huidig venster)"
"_blank (in new window)","_blank (in nieuw venster)"
"_self (in own frameset)","_self (in eigen frameset)"
"_top (in full current browser window)","_top (in volledig huidig browservenster)"
"Back","Terug"
"Delete","Verwijderen"
"Are you sure you want to do this?","Weet u zeker dat u dit wilt doen?"
"Reset","Opnieuw instellen"
"Resets input fields values","Stelt de waarden van invoervelden opnieuw in"
"Save and continue edit","Opslaan en bewerken voortzetten"
"Save","Opslaan"
"Edit","Bewerken"
"SEO Autolink Import","SEO-autolink importeren"
"Import links (.csv)","Links importeren (.csv)"
"Import links","Links importeren"
"This is a required field.","Dit is een verplicht veld."
"Download example CSV file for autolink import","Voorbeeld-CSV-bestand voor autolink-import downloaden"
"Example of CSV file","Voorbeeld van CSV-bestand"
"SEO Autolink Export","SEO-autolink exporteren"
"Export links (.csv)","Links exporteren (.csv)"
"Export links","Links exporteren"
"Cross-links settings","Kruislink-instellingen"
"Configure how cross-linking behaves across your site content to enhance internal linking structure.","Configureer hoe kruislinks werken in uw site-inhoud om de interne linkstructuur te verbeteren."
"Allowed areas for cross-links","Toegestane gebieden voor kruislinks"
"Select specific content areas where cross-links should be automatically inserted. Limiting to relevant areas improves page load performance.","Selecteer specifieke inhoudsgebieden waar kruislinks automatisch moeten worden ingevoegd. Beperking tot relevante gebieden verbetert de laadprestaties van de pagina."
"Restrict link placement in tags","Linkplaatsing in tags beperken"
"Specify HTML tags where links should not be inserted (e.g., h1, h2, a, strong). Enter one tag per line without brackets.","Geef HTML-tags op waar geen links mogen worden ingevoegd (bijv. h1, h2, a, strong). Voer één tag per regel in zonder haakjes."
"Prevent adding cross-links on pages","Toevoegen van kruislinks op pagina's voorkomen"
"Enter URL patterns (one per line) where cross-links should be disabled. Use * as wildcard (e.g., catalog/product/* or */checkout).","Voer URL-patronen in (één per regel) waar kruislinks uitgeschakeld moeten worden. Gebruik * als jokerteken (bijv. catalog/product/* of */checkout)."
"Template paths for link insertion","Sjabloonpaden voor het invoegen van links"
"Specify template file paths (one per line) where links should be inserted. Note: Processing will fail for templates exceeding 1000 HTML tags due to memory constraints.","Geef sjabloonbestandspaden op (één per regel) waar links moeten worden ingevoegd. Opmerking: Verwerking mislukt voor sjablonen met meer dan 1000 HTML-tags vanwege geheugenbeperkingen."
"Max number of links per page","Maximaal aantal links per pagina"
"Set maximum number of auto-generated cross-links per page. Lower values may improve page load time and prevent over-optimization.","Stel het maximale aantal automatisch gegenereerde kruislinks per pagina in. Lagere waarden kunnen de laadtijd verbeteren en over-optimalisatie voorkomen."
"Avoid duplicate URLs in cross-links","Dubbele URL's in kruislinks vermijden"
"When enabled, if multiple keywords point to the same URL, only the first occurrence will be linked. This prevents duplicate links and improves page load performance.","Indien ingeschakeld en meerdere trefwoorden verwijzen naar dezelfde URL, wordt alleen het eerste voorkomen gelinkt. Dit voorkomt dubbele links en verbetert de laadprestaties."
"General information","Algemene informatie"
"Keyword","Trefwoord"
"URL","URL"
"URL target","URL-doel"
"URL title","URL-titel"
"Nofollow","Nofollow"
"Number of substitutions","Aantal vervangingen"
"Sort order","Sorteervolgorde"
"Occurrence","Voorkomen"
"Is active","Is actief"
"Active from","Actief vanaf"
"Active to","Actief tot"
"Visible in store view","Zichtbaar in winkelweergave"
"Change status","Status wijzigen"
"Active","Actief"
"Inactive","Inactief"
"Delete items","Items verwijderen"
"Are you sure you want to delete the selected items?","Weet u zeker dat u de geselecteerde items wilt verwijderen?"
"ID","ID"
"Store view","Winkelweergave"
"Status","Status"
"Is nofollow","Is nofollow"
"Max replacements","Maximale vervangingen"
"Link type","Linktype"
"Entity ID","Entiteit-ID"
"Enter the product ID or category ID. The current URL for this entity will be resolved automatically when the link is inserted.","Voer het product-ID of categorie-ID in. De huidige URL voor deze entiteit wordt automatisch omgezet wanneer de link wordt ingevoegd."
"Custom URL","Aangepaste URL"
"Product by ID","Product op ID"
"Category by ID","Categorie op ID"
"URL is required for custom URL links.","URL is vereist voor aangepaste URL-links."
"Entity ID is required for product/category links.","Entiteit-ID is vereist voor product-/categorielinks."
