"%1 service is not properly configured or available","%1 サービスが正しく設定されていないか、利用できません"
"Invalid AI request data","無効なAIリクエストデータ"
"Request prompt cannot be empty","リクエストのプロンプトは空にできません"
"Claude API error","Claude APIエラー"
"Invalid Claude API response: missing content","無効なClaude APIレスポンス：コンテンツがありません"
"Empty content received from Claude API","Claude APIから空のコンテンツを受信しました"
"Gemini API error","Gemini APIエラー"
"Invalid Gemini API response: missing candidates","無効なGemini APIレスポンス：候補がありません"
"Gemini API response was truncated because the max_tokens limit was reached. Consider increasing the max_tokens setting or using a shorter prompt.","max_tokens制限に達したため、Gemini APIレスポンスが切り捨てられました。max_tokens設定を増やすか、より短いプロンプトを使用することを検討してください。"
"Empty content received from Gemini API","Gemini APIから空のコンテンツを受信しました"
"AI services are disabled in configuration","設定でAIサービスが無効になっています"
"No default AI provider configured","デフォルトのAIプロバイダーが設定されていません"
"No available AI provider for request validation","リクエスト検証に利用可能なAIプロバイダーがありません"
"Request validation failed: %1","リクエストの検証に失敗しました：%1"
"All AI providers failed. Last error: %1","すべてのAIプロバイダーが失敗しました。最後のエラー：%1"
"Unsupported AI provider: %1. Supported providers: %2","サポートされていないAIプロバイダー：%1。サポートされているプロバイダー：%2"
"Service class %1 must extend %2","サービスクラス %1 は %2 を拡張する必要があります"
"Failed to create AI service for provider %1: %2","プロバイダー %1 のAIサービスの作成に失敗しました：%2"
"Not configured","未設定"
Unknown,不明
"Unknown API error","不明なAPIエラー"
"Temperature must be between 0 and 2","温度は0から2の間である必要があります"
"Max tokens must be greater than 0","最大トークン数は0より大きい必要があります"
"Frequency penalty must be between -2 and 2","頻度ペナルティは-2から2の間である必要があります"
"Format output as JSON.","出力をJSON形式にフォーマットします。"
"OpenAI API returned an incomplete response because the model's context window tokens number was exceeded.","モデルのコンテキストウィンドウのトークン数を超えたため、OpenAI APIは不完全なレスポンスを返しました。"
"OpenAI API returned no content in the response.","OpenAI APIはレスポンスにコンテンツを返しませんでした。"
"Not Installed","未インストール"
"A total of %1 record(s) have been deleted.","合計 %1 件のレコードが削除されました。"
