"API key is not configured.","La clé API n'est pas configurée."
"AI request failed: %1","La requête IA a échoué : %1"
"SEO AI helper","Assistant IA SEO"
"General settings","Paramètres généraux"
"Configure the core settings for the SEO AI helper functionality.","Configurez les paramètres de base pour la fonctionnalité de l'assistant IA SEO."
"Enable SEO AI helper","Activer l'assistant IA SEO"
"Activates the AI-powered SEO optimization features throughout your Magento store.","Active les fonctionnalités d'optimisation SEO basées sur l'IA dans tout votre magasin Magento."
"Use Core AI settings","Utiliser les paramètres IA de Core"
"When enabled: Uses global AI settings from Core module (recommended)<br>When disabled: Uses the module-specific settings below","Lorsqu'il est activé : utilise les paramètres IA globaux du module Core (recommandé)<br>Lorsqu'il est désactivé : utilise les paramètres spécifiques au module ci-dessous"
"AI provider","Fournisseur IA"
"Select the AI provider for SEO content generation.","Sélectionnez le fournisseur IA pour la génération de contenu SEO."
"AI model","Modèle IA"
"Select the AI model for content generation. Available models depend on the selected provider.","Sélectionnez le modèle IA pour la génération de contenu. Les modèles disponibles dépendent du fournisseur sélectionné."
"API key","Clé API"
"<a href=""https://platform.openai.com/api-keys"" target=""_blank"">Get OpenAI API key</a>","<a href=""https://platform.openai.com/api-keys"" target=""_blank"">Obtenir une clé API OpenAI</a>"
"<a href=""https://console.anthropic.com/settings/keys"" target=""_blank"">Get Anthropic API key</a>","<a href=""https://console.anthropic.com/settings/keys"" target=""_blank"">Obtenir une clé API Anthropic</a>"
"<a href=""https://aistudio.google.com/apikey"" target=""_blank"">Get Google AI Studio API key</a>","<a href=""https://aistudio.google.com/apikey"" target=""_blank"">Obtenir une clé API Google AI Studio</a>"
"AI helper","Assistant IA"
"Configure how the AI assistant automatically improves your store's SEO performance based on audit results.","Configurez comment l'assistant IA améliore automatiquement les performances SEO de votre magasin en fonction des résultats d'audit."
"Automatically fix meta-related issues","Corriger automatiquement les problèmes liés aux méta"
"When enabled, the system will automatically generate and apply SEO rewrites to fix issues with meta titles, descriptions, and other meta elements identified during audits. This helps maintain SEO best practices across your site without manual intervention.","Lorsqu'il est activé, le système génère et applique automatiquement des réécritures SEO pour corriger les problèmes de titres méta, descriptions et autres éléments méta identifiés lors des audits. Cela aide à maintenir les meilleures pratiques SEO sur votre site sans intervention manuelle."
"Enable cron task","Activer la tâche cron"
"Schedule automatic SEO fixes to run every 30 minutes via Magento's cron system. This ensures your site's meta information remains optimized even as new content is added. Disable if you prefer to trigger fixes manually.","Planifiez des corrections SEO automatiques pour qu'elles s'exécutent toutes les 30 minutes via le système cron de Magento. Cela garantit que les méta-informations de votre site restent optimisées même lorsque du nouveau contenu est ajouté. Désactivez si vous préférez déclencher les corrections manuellement."
"Re-generate SEO rewrites","Régénérer les réécritures SEO"
"When enabled, the system will continuously refine previously generated meta content in subsequent runs until it meets recommended length guidelines and SEO best practices. This iterative improvement helps achieve optimal meta content over time.","Lorsqu'il est activé, le système affine continuellement le contenu méta précédemment généré lors des exécutions suivantes jusqu'à ce qu'il réponde aux directives de longueur recommandées et aux meilleures pratiques SEO. Cette amélioration itérative aide à atteindre un contenu méta optimal au fil du temps."
"Add store information to context","Ajouter les informations du magasin au contexte"
"Enhances AI-generated content by including your store's name and description when creating meta content. This provides relevant context to the AI, resulting in more brand-aligned and relevant meta descriptions and titles.","Améliore le contenu généré par l'IA en incluant le nom et la description de votre magasin lors de la création de contenu méta. Cela fournit un contexte pertinent à l'IA, résultant en des descriptions méta et des titres plus alignés sur votre marque et plus pertinents."
"Store description","Description du magasin"
"Describe in a few words what types of products your store is selling. This context helps the AI generate more relevant and targeted meta content. This data is not required.","Décrivez en quelques mots les types de produits que votre magasin vend. Ce contexte aide l'IA à générer du contenu méta plus pertinent et ciblé. Ces données ne sont pas obligatoires."
"AI helper store context","Contexte du magasin de l'Assistant IA"
