"Home","Domů"
"Go to Home Page","Přejít na domovskou stránku"
"Categories","Kategorie"
"Pages","Stránky"
"Products","Produkty"
"Stores","Obchody"
"Top of page","Vrchol stránky"
"Bottom of page","Spodek stránky"
"Both top and bottom","Nahoře i dole"
"Disable","Zakázat"
"Permanent only","Pouze trvalé"
"All","Vše"
"Priority must be between 0 and 1","Priorita musí být mezi 0 a 1"
"A cron job is required for automatic sitemap generation. Automatic generation can be configured at System > Configuration > Catalog > Google Sitemap > Generation Settings. Cron for Magento is not running. To set up a cron job, follow the link.","Pro automatické generování mapy webu je vyžadována úloha cron. Automatické generování lze nakonfigurovat v Systém > Konfigurace > Katalog > Google Sitemap > Nastavení generování. Cron pro Magento nefunguje. Pro nastavení úlohy cron přejděte na odkaz."
"Blog","Blog"
"Blog Home","Domovská stránka blogu"
"Brand","Značka"
"Knowledge Base","Znalostní báze"
"Landing Pages","Vstupní stránky"
"Search sitemap","Prohledat mapu webu"
"Search","Hledat"
"Search through sitemap items","Prohledat položky mapy webu"
"Visit %1 store","Navštívit obchod %1"
"View %1 page","Zobrazit stránku %1"
"Additional Links","Další odkazy"
"Visit %1","Navštívit %1"
"View %1","Zobrazit %1"
"View category: %1","Zobrazit kategorii: %1"
"View product: %1","Zobrazit produkt: %1"
"Nothing to show, please change a search query","Nic k zobrazení, změňte prosím vyhledávací dotaz"
"Extended sitemap","Rozšířená mapa webu"
"General sitemap settings","Obecná nastavení mapy webu"
"Basic configuration options that affect both frontend and XML sitemaps.","Základní možnosti konfigurace ovlivňující jak frontendovou, tak XML mapu webu."
"Ignore CMS pages","Ignorovat CMS stránky"
"Select pages that should not appear in any sitemaps. Useful for login, registration, and other utility pages.","Vyberte stránky, které by se neměly zobrazovat v žádných mapách webu. Užitečné pro přihlašovací, registrační a další stránky nástrojů."
"Include SEO rewrites in sitemap","Zahrnout SEO přepisy do mapy webu"
"When enabled, all SEO rewrite URLs with INDEX FOLLOW meta robots will be included in the sitemap. The included link pattern must not be an action name or contain wildcard characters. For a frontend sitemap, the <b>Title</b> field is required.","Pokud je povoleno, všechny URL SEO přepisů s meta roboty INDEX FOLLOW budou zahrnuty do mapy webu. Zahrnutý vzor odkazu nesmí být název akce ani obsahovat zástupné znaky. Pro frontendovou mapu webu je pole <b>Titulek</b> povinné."
"Exclude redirects from sitemap","Vyloučit přesměrování z mapy webu"
"Controls how redirect URLs are handled in sitemap generation. Excluding redirects prevents search engines from indexing redirect URLs, while including them allows crawlers to discover the redirect chain. Permanent redirects (301) typically should be excluded as they point to canonical URLs already in the sitemap.","Řídí, jak jsou URL přesměrování zpracovávány při generování mapy webu. Vyloučení přesměrování zabrání vyhledávačům indexovat URL přesměrování, zatímco jejich zahrnutí umožňuje prohledávačům objevit řetězec přesměrování. Trvalá přesměrování (301) by obvykle měla být vyloučena, protože odkazují na canonical URL, které jsou již v mapě webu."
"Additional links","Další odkazy"
"Add custom URLs to include in your sitemaps. Format: one URL per line. For frontend sitemaps, specify both URL and page title separated by comma.","Přidejte vlastní URL adresy pro zahrnutí do map webu. Formát: jedna URL na řádek. Pro frontendové mapy webu zadejte URL i titulek stránky oddělené čárkou."
"Example:<br/>/promotions/, Our Promotions<br/>/customer/account/, Customer Account","Příklad:<br/>/promotions/, Naše Akce<br/>/customer/account/, Zákaznický Účet"
"Exclude by pattern","Vyloučit podle vzoru"
"Specify URL patterns to exclude from all sitemaps. Each pattern should be on a new line. Wildcards (*) are supported.","Zadejte vzory URL pro vyloučení ze všech map webu. Každý vzor by měl být na novém řádku. Zástupné znaky (*) jsou podporovány."
"Example:<br/>/catalog/category/*<br/>/checkout/*","Příklad:<br/>/catalog/category/*<br/>/checkout/*"
"Frontend sitemap settings","Nastavení frontendové mapy webu"
"Configure how your HTML sitemap appears to visitors and search engines.","Nakonfigurujte, jak vaše HTML mapa webu vypadá pro návštěvníky a vyhledávače."
"Display settings","Nastavení zobrazení"
"Configure the visual presentation and user interface elements of your HTML sitemap. These settings control how the sitemap is displayed to visitors, including layout structure, navigation aids, and interactive features that enhance user experience.","Nakonfigurujte vizuální prezentaci a prvky uživatelského rozhraní vaší HTML mapy webu. Tato nastavení řídí, jak je mapa webu zobrazena návštěvníkům, včetně struktury rozložení, navigačních pomůcek a interaktivních funkcí."
"Columns count","Počet sloupců"
"Define how many columns will display in the frontend sitemap. More columns can improve readability on large sites.","Definujte, kolik sloupců se zobrazí ve frontendové mapě webu. Více sloupců může zlepšit čitelnost na velkých webech."
"Valid values from 1 to 10","Platné hodnoty od 1 do 10"
"Alphabetical product grouping","Abecední seskupení produktů"
"When enabled, products will be grouped alphabetically with capital letter headings, improving navigation for visitors.","Pokud je povoleno, produkty budou seskupeny abecedně s nadpisy velkých písmen, což zlepšuje navigaci pro návštěvníky."
"Show sitemap search box","Zobrazit vyhledávací pole mapy webu"
"Display a search input field on the frontend sitemap page. Visitors can use this to filter and find specific content within the sitemap without scrolling through all entries.","Zobrazte vyhledávací vstupní pole na stránce frontendové mapy webu. Návštěvníci jej mohou použít k filtrování a nalezení konkrétního obsahu v mapě webu bez procházení všech záznamů."
"Pagination controls position","Pozice ovládacích prvků stránkování"
"Configure where pagination navigation appears on the frontend sitemap: at the top of the page, bottom of the page, or both locations. For large sitemaps spanning multiple pages, placing controls at both top and bottom improves navigation usability.","Nakonfigurujte, kde se navigace stránkování zobrazuje ve frontendové mapě webu: nahoře na stránce, dole na stránce nebo na obou místech. Pro velké mapy webu zahrnující více stránek zlepšuje umístění ovládacích prvků nahoře i dole použitelnost navigace."
"Cap product links per page","Omezit odkazy na produkty na stránku"
"Set maximum number of product links per page to prevent excessive page size. Pagination will be applied automatically if exceeded.","Nastavte maximální počet odkazů na produkty na stránku, aby se zabránilo nadměrné velikosti stránky. Pokud je překročeno, stránkování bude automaticky aplikováno."
"SEO settings","SEO nastavení"
"Define search engine optimization elements for your HTML sitemap page. These settings directly impact how the sitemap appears in search results and affect its discoverability by both users and crawlers.","Definujte prvky optimalizace pro vyhledávače pro stránku HTML mapy webu. Tato nastavení přímo ovlivňují, jak se mapa webu zobrazuje ve výsledcích vyhledávání a ovlivňují její nalezitelnost uživateli i prohledávači."
"Base URL path to frontend sitemap","Základní URL cesta k frontendové mapě webu"
"Specify the URL path where the frontend sitemap will be accessible (e.g., 'map' will make it available at example.com/map).","Zadejte URL cestu, kde bude frontendová mapa webu dostupná (např. 'map' ji zpřístupní na example.com/map)."
"Meta title","Meta titulek"
"Define the browser tab title for your sitemap page. Important for search engine indexing.","Definujte titulek záložky prohlížeče pro stránku mapy webu. Důležité pro indexování vyhledávači."
"Meta keywords","Meta klíčová slova"
