"Giao dịch thành công","Successful transaction"
"Giao dịch đã tồn tại","The transaction already exists"
"Khởi tạo giao dịch không thành công do Website đang bị tạm khóa","Transaction initiation failed because the Website is temporarily locked"
"Giao dịch không thành công do: Quý khách nhập sai mật khẩu quá số lần quy định. Xin quý khách vui lòng thực hiện lại giao dịch","Transaction failed due to: You entered the wrong password more than the specified number of times. Please retry the transaction",
"Giao dịch bị nghi ngờ là giao dịch gian lận","The transaction is suspected to be a fraudulent transaction"
"Giao dịch không thành công do: Thẻ/Tài khoản của khách hàng chưa đăng ký dịch vụ InternetBanking tại ngân hàng","Transaction failed due to: Customer's card/account has not registered for InternetBanking service at the bank"
"Giao dịch không thành công do: Khách hàng xác thực thông tin thẻ/tài khoản không đúng quá 3 lần","Transaction failed due to: Customer verified incorrect card/account information more than 3 times"
"Giao dịch không thành công do: Đã hết hạn chờ thanh toán. Xin quý khách vui lòng thực hiện lại giao dịch","Transaction failed due to: Payment waiting period has expired. Please retry the transaction"
"Giao dịch không thành công do: Thẻ/Tài khoản của khách hàng bị khóa","Transaction failed due to: Customer's card/account is locked"
"Giao dịch không thành công do Quý khách nhập sai mật khẩu xác thực giao dịch (OTP). Xin quý khách vui lòng thực hiện lại giao dịch","The transaction was unsuccessful because you entered the wrong transaction authentication password (OTP). Please retry the transaction"
"Giao dịch không thành công do: Khách hàng hủy giao dịch","Transaction failed due to: Customer canceled the transaction"
"Giao dịch không thành công do: Tài khoản của quý khách không đủ số dư để thực hiện giao dịch","Transaction failed due to: Your account does not have enough balance to make the transaction"
"Giao dịch không thành công do: Tài khoản của Quý khách đã vượt quá hạn mức giao dịch trong ngày","Transaction failed due to: Your account has exceeded the transaction limit for the day"
"Ngân hàng thanh toán đang bảo trì","The payment bank is under maintenance"
"Giao dịch không thành công do: Khách hàng nhập sai mật khẩu thanh toán quá số lần quy định. Xin quý khách vui lòng thực hiện lại giao dịch","Transaction failed due to: Customer entered the wrong payment password more than the specified number of times. Please retry the transaction"
"Có lỗi xảy ra trong quá trình thực hiện giao dịch","Unknow error"
"Giao dịch thất bại","Transaction failed"
"Merchant không hợp lệ (kiểm tra lại vnp_TmnCode)","Merchant is invalid (check vnp_TmnCode again)"
"Dữ liệu gửi sang không đúng định dạng","The data sent is not in the correct format"
"Không tìm thấy giao dịch yêu cầu","The requested transaction was not found"
"Yêu cầu bị trùng lặp trong thời gian giới hạn của API (Giới hạn trong 5 phút)","Duplicate request within API time limit (Limited to 5 minutes)"
"Chữ ký không hợp lệ","Invalid signature"
"Thanh toán thất bại","Payment failed"
"Thanh toán thành công","Payment success"
