"%1 service is not properly configured or available","Usługa %1 nie jest prawidłowo skonfigurowana lub niedostępna"
"Invalid AI request data","Nieprawidłowe dane żądania AI"
"Request prompt cannot be empty","Prompt żądania nie może być pusty"
"Claude API error","Błąd API Claude"
"Invalid Claude API response: missing content","Nieprawidłowa odpowiedź API Claude: brak zawartości"
"Empty content received from Claude API","Otrzymano pustą zawartość z API Claude"
"Gemini API error","Błąd API Gemini"
"Invalid Gemini API response: missing candidates","Nieprawidłowa odpowiedź API Gemini: brak kandydatów"
"Gemini API response was truncated because the max_tokens limit was reached. Consider increasing the max_tokens setting or using a shorter prompt.","Odpowiedź API Gemini została obcięta, ponieważ osiągnięto limit max_tokens. Rozważ zwiększenie ustawienia max_tokens lub użycie krótszego promptu."
"Empty content received from Gemini API","Otrzymano pustą zawartość z API Gemini"
"AI services are disabled in configuration","Usługi AI są wyłączone w konfiguracji"
"No default AI provider configured","Nie skonfigurowano domyślnego dostawcy AI"
"No available AI provider for request validation","Brak dostępnego dostawcy AI do walidacji żądań"
"Request validation failed: %1","Walidacja żądania nie powiodła się: %1"
"All AI providers failed. Last error: %1","Wszyscy dostawcy AI zawiodli. Ostatni błąd: %1"
"Unsupported AI provider: %1. Supported providers: %2","Nieobsługiwany dostawca AI: %1. Obsługiwani dostawcy: %2"
"Service class %1 must extend %2","Klasa usługi %1 musi rozszerzać %2"
"Failed to create AI service for provider %1: %2","Nie udało się utworzyć usługi AI dla dostawcy %1: %2"
"Not configured","Nie skonfigurowano"
Unknown,Nieznany
"Unknown API error","Nieznany błąd API"
"Temperature must be between 0 and 2","Temperatura musi być między 0 a 2"
"Max tokens must be greater than 0","Maksymalna liczba tokenów musi być większa niż 0"
"Frequency penalty must be between -2 and 2","Kara za powtarzalność musi być między -2 a 2"
"Format output as JSON.","Formatuj wyjście jako JSON."
"OpenAI API returned an incomplete response because the model's context window tokens number was exceeded.","API OpenAI zwróciło niekompletną odpowiedź, ponieważ przekroczono liczbę tokenów okna kontekstu modelu."
"OpenAI API returned no content in the response.","API OpenAI nie zwróciło zawartości w odpowiedzi."
"Not Installed","Nie zainstalowano"
"A total of %1 record(s) have been deleted.","Łącznie usunięto %1 rekord(ów)."
"The record has been removed.","Rekord został usunięty."
"Disallowed file type.","Niedozwolony typ pliku."
"Can't remove folder %s","Nie można usunąć folderu %s"
"Extension does not contain all necessary files. Please reinstall the extension from original package.","Rozszerzenie nie zawiera wszystkich niezbędnych plików. Zainstaluj ponownie rozszerzenie z oryginalnego pakietu."
"Extension Information","Informacje o rozszerzeniu"
Status,Status
Other,Inne
"Advanced Reports","Advanced Reports"
"Layered Navigation","Layered Navigation"
"Cron for Magento is not running. To setup a cron job, follow the link %1","Cron dla Magento nie działa. Aby skonfigurować zadanie cron, przejdź do linku %1"
"Cron jobs [%1] are not running. Please check the table %2 for frozen jobs and remove them.","Zadania cron [%1] nie działają. Sprawdź tabelę %2 pod kątem zawieszonych zadań i usuń je."
Remove,Usuń
Error,Błąd
Missed,Pominięte
Running,Działa
Pending,Oczekuje
Success,Sukces
"Server gmt time","Czas GMT serwera"
"Last job","Ostatnie zadanie"
Executed,Wykonano
none,brak
"Cron setup","Konfiguracja Cron"
"Cron Jobs","Zadania Cron"
"No AI-enabled modules are currently active.","Obecnie nie ma aktywnych modułów z obsługą AI."
"%1 module(s) using AI functionality:","%1 moduł(ów) używa funkcjonalności AI:"
Provider:,Dostawca:
ai_provider,ai_provider
"You have the latest version","Masz najnowszą wersję"
"New version %1 is available","Dostępna jest nowa wersja %1"
"View %1 details (opens in new window)","Zobacz szczegóły %1 (otwiera się w nowym oknie)"
Details,Szczegóły
"View %1 user guide (opens in new window)","Zobacz przewodnik użytkownika %1 (otwiera się w nowym oknie)"
"User Guide","Przewodnik użytkownika"
