"Add new link","إضافة رابط جديد"
"Import/Export links","استيراد/تصدير الروابط"
"[deleted]","[محذوف]"
"All store views","جميع عروض المتجر"
"There is no sample file for this entity.","لا يوجد ملف نموذجي لهذا الكيان."
"Unable to create export file.","تعذّر إنشاء ملف التصدير."
"Unable to send export file.","تعذّر إرسال ملف التصدير."
"Cross-links","الروابط المتقاطعة"
"%1 records were inserted or updated","تم إدراج أو تحديث %1 سجل"
"New link","رابط جديد"
"Item was successfully deleted","تم حذف العنصر بنجاح"
"Edit link '%1'","تعديل الرابط '%1'"
"The link does not exist.","الرابط غير موجود."
"Please select item(s)","يرجى تحديد عنصر(عناصر)"
"Total of %1 record(s) were successfully deleted","تم حذف %1 سجل(سجلات) بنجاح"
"Total of %1 record(s) were successfully disabled","تم تعطيل %1 سجل(سجلات) بنجاح"
"Total of %1 record(s) were successfully enabled","تم تمكين %1 سجل(سجلات) بنجاح"
"Link was successfully saved","تم حفظ الرابط بنجاح"
"Unable to find link to save","تعذّر العثور على رابط للحفظ"
"First","الأول"
"Last","الأخير"
"Random","عشوائي"
"CMS page","صفحة CMS"
"CMS block","كتلة CMS"
"Category description","وصف الفئة"
"Product short description","وصف المنتج المختصر"
"Product full description","وصف المنتج الكامل"
"Product attributes","سمات المنتج"
"SEO description","وصف SEO"
"Blog MX post content","محتوى منشور Blog MX"
"Mageplaza Blog post content","محتوى منشور Mageplaza Blog"
"_self (in current window)","_self (في النافذة الحالية)"
"_blank (in new window)","_blank (في نافذة جديدة)"
"_self (in own frameset)","_self (في إطار خاص)"
"_top (in full current browser window)","_top (في نافذة المتصفح الكاملة)"
"Back","رجوع"
"Delete","حذف"
"Are you sure you want to do this?","هل أنت متأكد من رغبتك في تنفيذ هذا الإجراء؟"
"Reset","إعادة تعيين"
"Resets input fields values","إعادة تعيين قيم حقول الإدخال"
"Save and continue edit","حفظ ومتابعة التعديل"
"Save","حفظ"
"Edit","تعديل"
"SEO Autolink Import","استيراد الروابط التلقائية لـ SEO"
"Import links (.csv)","استيراد الروابط (.csv)"
"Import links","استيراد الروابط"
"This is a required field.","هذا الحقل مطلوب."
"Download example CSV file for autolink import","تنزيل مثال ملف CSV لاستيراد الروابط التلقائية"
"Example of CSV file","مثال على ملف CSV"
"SEO Autolink Export","تصدير الروابط التلقائية لـ SEO"
"Export links (.csv)","تصدير الروابط (.csv)"
"Export links","تصدير الروابط"
"Cross-links settings","إعدادات الروابط المتقاطعة"
"Configure how cross-linking behaves across your site content to enhance internal linking structure.","اضبط سلوك الروابط المتقاطعة عبر محتوى موقعك لتحسين بنية الروابط الداخلية."
"Allowed areas for cross-links","المناطق المسموح بها للروابط المتقاطعة"
"Select specific content areas where cross-links should be automatically inserted. Limiting to relevant areas improves page load performance.","حدد مناطق المحتوى المحددة حيث يجب إدراج الروابط المتقاطعة تلقائياً. يؤدي التحديد إلى مناطق ذات صلة إلى تحسين أداء تحميل الصفحة."
"Restrict link placement in tags","تقييد وضع الروابط في الوسوم"
"Specify HTML tags where links should not be inserted (e.g., h1, h2, a, strong). Enter one tag per line without brackets.","حدد وسوم HTML التي لا يجب إدراج الروابط فيها (مثل h1, h2, a, strong). أدخل وسماً واحداً لكل سطر بدون أقواس."
"Prevent adding cross-links on pages","منع إضافة روابط متقاطعة في الصفحات"
"Enter URL patterns (one per line) where cross-links should be disabled. Use * as wildcard (e.g., catalog/product/* or */checkout).","أدخل أنماط URL (واحد لكل سطر) حيث يجب تعطيل الروابط المتقاطعة. استخدم * كبديل (مثل catalog/product/* أو */checkout)."
"Template paths for link insertion","مسارات القوالب لإدراج الروابط"
"Specify template file paths (one per line) where links should be inserted. Note: Processing will fail for templates exceeding 1000 HTML tags due to memory constraints.","حدد مسارات ملفات القوالب (واحد لكل سطر) حيث يجب إدراج الروابط. ملاحظة: ستفشل المعالجة للقوالب التي تتجاوز 1000 وسم HTML بسبب قيود الذاكرة."
"Max number of links per page","الحد الأقصى لعدد الروابط لكل صفحة"
"Set maximum number of auto-generated cross-links per page. Lower values may improve page load time and prevent over-optimization.","اضبط الحد الأقصى لعدد الروابط المتقاطعة المُنشأة تلقائياً لكل صفحة. قد تؤدي القيم الأقل إلى تحسين وقت تحميل الصفحة ومنع الإفراط في التحسين."
