"Home","Ana sayfa"
"Go to Home Page","Ana sayfaya git"
"Categories","Kategoriler"
"Pages","Sayfalar"
"Products","Ürünler"
"Stores","Mağazalar"
"Top of page","Sayfanın üstü"
"Bottom of page","Sayfanın altı"
"Both top and bottom","Üst ve alt"
"Disable","Devre dışı bırak"
"Permanent only","Yalnızca kalıcı"
"All","Tümü"
"Priority must be between 0 and 1","Öncelik 0 ile 1 arasında olmalıdır"
"A cron job is required for automatic sitemap generation. Automatic generation can be configured at System > Configuration > Catalog > Google Sitemap > Generation Settings. Cron for Magento is not running. To set up a cron job, follow the link.","Otomatik site haritası oluşturma için bir cron görevi gereklidir. Otomatik oluşturma Sistem > Yapılandırma > Katalog > Google Site Haritası > Oluşturma Ayarları'ndan yapılandırılabilir. Magento için Cron çalışmıyor. Bir cron görevi kurmak için bağlantıyı takip edin."
"Blog","Blog"
"Blog Home","Blog Ana Sayfası"
"Brand","Marka"
"Knowledge Base","Bilgi Bankası"
"Landing Pages","Açılış sayfaları"
"Search sitemap","Site haritasında ara"
"Search","Ara"
"Search through sitemap items","Site haritası öğelerinde ara"
"Visit %1 store","%1 mağazasını ziyaret et"
"View %1 page","%1 sayfasını görüntüle"
"Additional Links","Ek bağlantılar"
"Visit %1","%1'i ziyaret et"
"View %1","%1'i görüntüle"
"View category: %1","Kategoriyi görüntüle: %1"
"View product: %1","Ürünü görüntüle: %1"
"Nothing to show, please change a search query","Gösterilecek bir şey yok, lütfen arama sorgusunu değiştirin"
"Extended sitemap","Genişletilmiş site haritası"
"General sitemap settings","Genel site haritası ayarları"
"Basic configuration options that affect both frontend and XML sitemaps.","Hem frontend hem de XML site haritalarını etkileyen temel yapılandırma seçenekleri."
"Ignore CMS pages","CMS sayfalarını yoksay"
"Select pages that should not appear in any sitemaps. Useful for login, registration, and other utility pages.","Hiçbir site haritasında görünmemesi gereken sayfaları seçin. Giriş, kayıt ve diğer yardımcı sayfalar için kullanışlıdır."
"Include SEO rewrites in sitemap","Site haritasına SEO yeniden yazmalarını dahil et"
