"Template manager","Správce šablon"
"Rewrite manager","Správce přepisů"
"Settings","Nastavení"
"Preview template","Náhled šablony"
"SEO description","SEO popis"
"Rewrite was removed","Přepis byl odstraněn"
"Please select rewrite","Vyberte prosím přepis"
"This rewrite no longer exists.","Tento přepis již neexistuje."
"New rewrite","Nový přepis"
"There is no sample file for this entity.","Pro tuto entitu neexistuje vzorový soubor."
"Unable to create export file.","Nelze vytvořit soubor pro export."
"Unable to send export file.","Nelze odeslat soubor pro export."
"Import/Export rewrites","Import/Export přepisů"
"%1 records were inserted or updated","%1 záznamů bylo vloženo nebo aktualizováno"
"Rewrite was saved.","Přepis byl uložen."
"No data to save.","Žádná data k uložení."
"Advanced SEO Suite","Advanced SEO Suite"
"Template was removed","Šablona byla odstraněna"
"Please select template","Vyberte prosím šablonu"
"Template was duplicated successfully.","Šablona byla úspěšně duplikována."
"This template no longer exists.","Tato šablona již neexistuje."
"New template","Nová šablona"
"Template was saved.","Šablona byla uložena."
"Disabled","Zakázáno"
"At the beginning","Na začátku"
"At the end","Na konci"
"At the beginning (add to the first page)","Na začátku (přidat na první stránku)"
"At the end (add to the first page)","Na konci (přidat na první stránku)"
"Category","Kategorie"
"Post","Příspěvek"
"Tag","Štítek"
"Author","Autor"
"Brand","Značka"
"Open Chooser","Otevřít výběr"
"Conditions combination","Kombinace podmínek"
"Filter Subselection","Dílčí výběr filtru"
"Category Attributes","Atributy kategorie"
"Product attributes","Atributy produktu"
"Page attributes","Atributy stránky"
"Blog Attributes","Atributy blogu"
"Brand Attributes","Atributy značky"
"Landing Page Attributes","Atributy vstupní stránky"
"Product attribute","Atribut produktu"
"is","je"
"is not","není"
"equals or greater than","rovná se nebo je větší než"
"equals or less than","rovná se nebo je menší než"
"greater than","větší než"
"less than","menší než"
"If number of applied filters %1 %2 while %3 of these Conditions match:","Pokud počet aplikovaných filtrů %1 %2 a %3 z těchto podmínek odpovídá:"
"Landing Page","Vstupní stránka"
"Page","Stránka"
"Attribute set","Sada atributů"
"Product type","Typ produktu"
"SEO Content","SEO Content"
"Is Category Page — %1","Stránka kategorie — %1"
"Is Landing Page — %1","Vstupní stránka — %1"
"Is Navigation Page — %1","Navigační stránka — %1"
"Is Product Page — %1","Stránka produktu — %1"
"Is CMS page — %1","CMS stránka — %1"
"Is Blog Page — %1","Stránka blogu — %1"
