Conditions,Conditions
"Wrong request.","Wrong request."
"Rich snippet extender has been deleted.","Rich snippet extender has been deleted."
"Edit rich snippet extender","Edit rich snippet extender"
"Rich snippet extender with ID ""%1"" does not exist.","Rich snippet extender with ID ""%1"" does not exist."
"Rich snippet extenders","Rich snippet extenders"
"New rich snippet extender","New rich snippet extender"
"No data to save.","No data to save."
"Rich snippet extender no longer exists.","Rich snippet extender no longer exists."
"Incorrect JSON format","Incorrect JSON format"
"Rich snippet extender has been saved.","Rich snippet extender has been saved."
Disabled,Disabled
"Use description","Use description"
"Use meta description","Use meta description"
No,No
"Yes, for all categories","Yes, for all categories"
"Yes, only for non-filtered categories","Yes, only for non-filtered categories"
"Full (OfferCatalog)","Full (OfferCatalog)"
"Simple (ItemList)","Simple (ItemList)"
"Aggregate Product","Aggregate Product"
"Current page","Current page"
"Entire category","Entire category"
"Yes, for all landing pages","Yes, for all landing pages"
"Yes, only for non-filtered landing pages","Yes, only for non-filtered landing pages"
"Entire landing page","Entire landing page"
"Homepage only","Homepage only"
"All CMS pages","All CMS pages"
"Specific CMS pages","Specific CMS pages"
"Add from store information","Add from store information"
"Add manually","Add manually"
"Default (from configuration)","Default (from configuration)"
WebPage,WebPage
Article,Article
BlogPosting,BlogPosting
AboutPage,AboutPage
ContactPage,ContactPage
"Use short description","Use short description"
"Configure manually","Configure manually"
"New for all products","New for all products"
"Kilograms (kg)","Kilograms (kg)"
"Pounds (lb)","Pounds (lb)"
"Grams (g)","Grams (g)"
"Search in the catalog of products","Search in the catalog of products"
"Search in the blog articles","Search in the blog articles"
"Summary card","Summary card"
"Summary card with large image","Summary card with large image"
"The rich snippet extender with ID ""%1"" doesn't exist.","The rich snippet extender with ID ""%1"" doesn't exist."
Edit,Edit
Delete,Delete
"Delete record with ID %1","Delete record with ID %1"
"Are you sure you want to delete this rich snippet extender?","Are you sure you want to delete this rich snippet extender?"
"Template variables","Template variables"
"learn more","learn more"
"Double click on a variable to insert it into the field","Double click on a variable to insert it into the field"
"Learn more about template variables","Learn more about template variables"
"Rich snippets and OpenGraph","Rich snippets and OpenGraph"
"Product page","Product page"
"Configure rich snippets for product pages to improve search engine visibility. These settings enhance how your products appear in search results with additional information like pricing, availability, and reviews.","Configure rich snippets for product pages to improve search engine visibility. These settings enhance how your products appear in search results with additional information like pricing, availability, and reviews."
