"A canonical tag is set for this page.","تم تعيين وسم canonical لهذه الصفحة."
"No canonical tag is set for this page.","لم يتم تعيين وسم canonical لهذه الصفحة."
"There is no H1 tag on the page.","لا يوجد وسم H1 في الصفحة."
"One H1 tag — optimal.","وسم H1 واحد — مثالي."
"Multiple H1 tags found. Try to use only one H1 tag.","تم العثور على وسوم H1 متعددة. حاول استخدام وسم H1 واحد فقط."
"<%1>: %2","<%1>: %2"
"%1 image(s) without ALT tag","%1 صورة (صور) بدون وسم ALT"
"%1 images with correct alt attribute.","%1 صور بسمة alt صحيحة."
"%1 characters — not good. Try to enlarge it to 160 characters.","%1 حرف — غير كافٍ. حاول توسيعه إلى 160 حرفًا."
"%1 characters — not good. Try to minimize it to 300 characters.","%1 حرف — غير كافٍ. حاول تقليصه إلى 300 حرف."
"%1 characters — optimal.","%1 حرف — مثالي."
"%1 characters, %2 words.","%1 حرف، %2 كلمة."
"Is not set","غير محدد"
"No cross-links detected","لم يتم اكتشاف روابط متقاطعة"
"Cross-links successfully applied","تم تطبيق الروابط المتقاطعة بنجاح"
"%1 characters — not good. Try to enlarge it to 10 characters.","%1 حرف — غير كافٍ. حاول توسيعه إلى 10 أحرف."
"%1 characters — not good. Try to minimize it to 70 characters.","%1 حرف — غير كافٍ. حاول تقليصه إلى 70 حرفًا."
"Page analysis","تحليل الصفحة"
"Close SEO Toolbar","إغلاق شريط أدوات SEO"
"SEO toolbar settings","إعدادات شريط أدوات SEO"
"Configure the SEO toolbar's visibility and access restrictions. The toolbar provides real-time SEO analysis information directly in your storefront.","تكوين إعدادات رؤية شريط أدوات SEO وقيود الوصول. يوفر شريط الأدوات معلومات تحليل SEO في الوقت الفعلي مباشرةً في واجهة متجرك."
"Enable toolbar","تمكين شريط الأدوات"
"When enabled, the SEO toolbar will be displayed according to the IP restrictions below. Disable to completely turn off the toolbar functionality.","عند التمكين، سيتم عرض شريط أدوات SEO وفقًا لقيود IP أدناه. قم بالتعطيل لإيقاف تشغيل وظيفة شريط الأدوات بالكامل."
"Show toolbar only for IPs","إظهار شريط الأدوات لعناوين IP المحددة فقط"
"For security, enter comma-separated IP addresses that are allowed to see the toolbar. Leave empty to show the toolbar for all IPs. Example: 192.168.1.1,10.0.0.1","لأغراض الأمان، أدخل عناوين IP المسموح لها برؤية شريط الأدوات مفصولةً بفواصل. اتركه فارغًا لإظهار شريط الأدوات لجميع عناوين IP. مثال: 192.168.1.1,10.0.0.1"
"Disable toolbar for links","تعطيل شريط الأدوات للروابط"
"Specify links (one per line) where the toolbar should be disabled (e.g., /customer/login or /checkout).","حدد الروابط (رابط واحد في كل سطر) التي يجب تعطيل شريط الأدوات فيها (مثال: /customer/login أو /checkout)."
