"Template manager","Menedżer szablonów"
"Rewrite manager","Menedżer przepisań"
"Settings","Ustawienia"
"Preview template","Podgląd szablonu"
"SEO description","Opis SEO"
"Rewrite was removed","Przepisanie zostało usunięte"
"Please select rewrite","Wybierz przepisanie"
"This rewrite no longer exists.","To przepisanie już nie istnieje."
"New rewrite","Nowe przepisanie"
"There is no sample file for this entity.","Brak pliku przykładowego dla tej encji."
"Unable to create export file.","Nie można utworzyć pliku eksportu."
"Unable to send export file.","Nie można wysłać pliku eksportu."
"Import/Export rewrites","Importuj/Eksportuj przepisania"
"%1 records were inserted or updated","Wstawiono lub zaktualizowano %1 rekordów"
"Rewrite was saved.","Przepisanie zostało zapisane."
"No data to save.","Brak danych do zapisania."
"Advanced SEO Suite","Advanced SEO Suite"
"Template was removed","Szablon został usunięty"
"Please select template","Wybierz szablon"
"Template was duplicated successfully.","Szablon został pomyślnie zduplikowany."
"This template no longer exists.","Ten szablon już nie istnieje."
"New template","Nowy szablon"
"Template was saved.","Szablon został zapisany."
"Disabled","Wyłączony"
"At the beginning","Na początku"
"At the end","Na końcu"
"At the beginning (add to the first page)","Na początku (dodaj do pierwszej strony)"
"At the end (add to the first page)","Na końcu (dodaj do pierwszej strony)"
"Category","Kategoria"
"Post","Wpis"
"Tag","Znacznik"
"Author","Autor"
"Brand","Marka"
"Open Chooser","Otwórz selektor"
"Conditions combination","Kombinacja warunków"
"Filter Subselection","Podwybór filtra"
"Category Attributes","Atrybuty kategorii"
"Product attributes","Atrybuty produktu"
"Page attributes","Atrybuty strony"
"Blog Attributes","Atrybuty bloga"
"Brand Attributes","Atrybuty marki"
"Landing Page Attributes","Atrybuty strony docelowej"
"Product attribute","Atrybut produktu"
"is","jest"
"is not","nie jest"
"equals or greater than","równy lub większy niż"
"equals or less than","równy lub mniejszy niż"
"greater than","większy niż"
"less than","mniejszy niż"
"If number of applied filters %1 %2 while %3 of these Conditions match:","Jeśli liczba zastosowanych filtrów %1 %2, gdy %3 z tych warunków jest spełnionych:"
"Landing Page","Strona docelowa"
"Page","Strona"
"Attribute set","Zestaw atrybutów"
"Product type","Typ produktu"
"SEO Content","Treść SEO"
"Is Category Page — %1","Jest stroną kategorii — %1"
"Is Landing Page — %1","Jest stroną docelową — %1"
"Is Navigation Page — %1","Jest stroną nawigacyjną — %1"
"Is Product Page — %1","Jest stroną produktu — %1"
"Is CMS page — %1","Jest stroną CMS — %1"
"Is Blog Page — %1","Jest stroną bloga — %1"
"Is Brand Page — %1","Jest stroną marki — %1"
"State","Stan"
"Applied Template — %1","Zastosowany szablon — %1"
"Applied Rewrite — %1","Zastosowane przepisanie — %1"
"Content","Treść"
"Content Sources","Źródła treści"
"Page %1 | %2","Strona %1 | %2"
"%1 | Page %2","%1 | Strona %2"
"Tag: %1","Znacznik: %1"
"Back","Wstecz"
"Delete","Usuń"
"Are you sure you want to do this?","Czy na pewno chcesz to zrobić?"
"Save and continue edit","Zapisz i kontynuuj edycję"
"Save","Zapisz"
"Edit","Edytuj"
"Delete rewrite?","Usunąć przepisanie?"
"Default","Domyślny"
"Yes","Tak"
"No","Nie"
"Bottom of the page","Na dole strony"
"Under custom template","Pod niestandardowym szablonem"
"Don't add automatically","Nie dodawaj automatycznie"
"Don't change","Nie zmieniaj"
"NOINDEX, NOFOLLOW","NOINDEX, NOFOLLOW"
"NOINDEX, FOLLOW","NOINDEX, FOLLOW"
"INDEX, NOFOLLOW","INDEX, NOFOLLOW"
"INDEX, FOLLOW","INDEX, FOLLOW"
"Conditions","Warunki"
"Conditions (leave blank for all elements, depending from rule type)","Warunki (pozostaw puste dla wszystkich elementów, zależnie od typu reguły)"
"Duplicate","Duplikuj"
"Delete template?","Usunąć szablon?"
"Meta title","Meta tytuł"
"Meta keywords","Meta słowa kluczowe"
"Meta description","Meta opis"
"Title (H1)","Tytuł (H1)"
"Product short description","Krótki opis produktu"
