"Home","Startpagina"
"Go to Home Page","Naar startpagina"
"Categories","Categorieën"
"Pages","Pagina's"
"Products","Producten"
"Stores","Winkels"
"Top of page","Bovenkant pagina"
"Bottom of page","Onderkant pagina"
"Both top and bottom","Boven en onder"
"Disable","Uitschakelen"
"Permanent only","Alleen permanent"
"All","Alle"
"Priority must be between 0 and 1","Prioriteit moet tussen 0 en 1 liggen"
"A cron job is required for automatic sitemap generation. Automatic generation can be configured at System > Configuration > Catalog > Google Sitemap > Generation Settings. Cron for Magento is not running. To set up a cron job, follow the link.","Een cron-taak is vereist voor automatische sitemapgeneratie. Automatische generatie kan worden geconfigureerd via Systeem > Configuratie > Catalogus > Google Sitemap > Generatie-instellingen. Cron voor Magento werkt niet. Volg de link om een cron-taak in te stellen."
"Blog","Blog"
"Blog Home","Blog startpagina"
"Brand","Merk"
"Knowledge Base","Kennisbank"
"Landing Pages","Landingspagina's"
"Search sitemap","Sitemap doorzoeken"
"Search","Zoeken"
"Search through sitemap items","Sitemap-items doorzoeken"
"Visit %1 store","Bezoek winkel %1"
"View %1 page","Pagina %1 bekijken"
"Additional Links","Extra links"
"Visit %1","Bezoek %1"
"View %1","Bekijk %1"
"View category: %1","Categorie bekijken: %1"
"View product: %1","Product bekijken: %1"
"Nothing to show, please change a search query","Niets te tonen, pas de zoekopdracht aan"
"Extended sitemap","Uitgebreide sitemap"
"General sitemap settings","Algemene sitemap-instellingen"
"Basic configuration options that affect both frontend and XML sitemaps.","Basisconfiguratieopties die zowel frontend- als XML-sitemaps beïnvloeden."
"Ignore CMS pages","CMS-pagina's negeren"
"Select pages that should not appear in any sitemaps. Useful for login, registration, and other utility pages.","Selecteer pagina's die in geen enkele sitemap mogen verschijnen. Handig voor aanmeldings-, registratie- en andere hulppagina's."
"Include SEO rewrites in sitemap","SEO-herschrijvingen opnemen in sitemap"
"When enabled, all SEO rewrite URLs with INDEX FOLLOW meta robots will be included in the sitemap. The included link pattern must not be an action name or contain wildcard characters. For a frontend sitemap, the <b>Title</b> field is required.","Indien ingeschakeld worden alle SEO-herschrijvings-URL's met INDEX FOLLOW meta robots opgenomen in de sitemap. Het opgenomen linkpatroon mag geen actienaam zijn of jokertekens bevatten. Voor een frontend sitemap is het veld <b>Titel</b> vereist."
"Exclude redirects from sitemap","Doorverwijzingen uitsluiten van sitemap"
