"API key is not configured.","API-Schlüssel ist nicht konfiguriert."
"AI request failed: %1","KI-Anfrage fehlgeschlagen: %1"
"SEO AI helper","SEO-KI-Assistent"
"General settings","Allgemeine Einstellungen"
"Configure the core settings for the SEO AI helper functionality.","Die Kerneinstellungen für die SEO-KI-Assistent-Funktionalität konfigurieren."
"Enable SEO AI helper","SEO-KI-Assistent aktivieren"
"Activates the AI-powered SEO optimization features throughout your Magento store.","Aktiviert die KI-gestützten SEO-Optimierungsfunktionen in Ihrem Magento-Shop."
"Use Core AI settings","Core-KI-Einstellungen verwenden"
"When enabled: Uses global AI settings from Core module (recommended)<br>When disabled: Uses the module-specific settings below","Wenn aktiviert: Verwendet globale KI-Einstellungen aus dem Core-Modul (empfohlen)<br>Wenn deaktiviert: Verwendet die modulspezifischen Einstellungen unten"
"AI provider","KI-Anbieter"
"Select the AI provider for SEO content generation.","Den KI-Anbieter für die SEO-Inhaltsgenerierung auswählen."
"AI model","KI-Modell"
"Select the AI model for content generation. Available models depend on the selected provider.","Das KI-Modell für die Inhaltsgenerierung auswählen. Verfügbare Modelle hängen vom ausgewählten Anbieter ab."
"API key","API-Schlüssel"
"<a href=""https://platform.openai.com/api-keys"" target=""_blank"">Get OpenAI API key</a>","<a href=""https://platform.openai.com/api-keys"" target=""_blank"">OpenAI-API-Schlüssel erhalten</a>"
"<a href=""https://console.anthropic.com/settings/keys"" target=""_blank"">Get Anthropic API key</a>","<a href=""https://console.anthropic.com/settings/keys"" target=""_blank"">Anthropic-API-Schlüssel erhalten</a>"
"<a href=""https://aistudio.google.com/apikey"" target=""_blank"">Get Google AI Studio API key</a>","<a href=""https://aistudio.google.com/apikey"" target=""_blank"">Google AI Studio-API-Schlüssel erhalten</a>"
"AI helper","KI-Assistent"
"Configure how the AI assistant automatically improves your store's SEO performance based on audit results.","Konfigurieren, wie der KI-Assistent die SEO-Leistung Ihres Shops automatisch auf Basis von Audit-Ergebnissen verbessert."
"Automatically fix meta-related issues","Meta-bezogene Probleme automatisch beheben"
"When enabled, the system will automatically generate and apply SEO rewrites to fix issues with meta titles, descriptions, and other meta elements identified during audits. This helps maintain SEO best practices across your site without manual intervention.","Wenn aktiviert, generiert und wendet das System automatisch SEO-Umschreibungen an, um Probleme mit Meta-Titeln, Beschreibungen und anderen Meta-Elementen zu beheben, die bei Audits identifiziert wurden. Dies hilft, SEO-Best-Practices auf Ihrer Website ohne manuellen Eingriff aufrechtzuerhalten."
"Enable cron task","Cron-Aufgabe aktivieren"
"Schedule automatic SEO fixes to run every 30 minutes via Magento's cron system. This ensures your site's meta information remains optimized even as new content is added. Disable if you prefer to trigger fixes manually.","Automatische SEO-Korrekturen planen, die alle 30 Minuten über Magentos Cron-System ausgeführt werden. Dies stellt sicher, dass die Meta-Informationen Ihrer Website auch bei neuen Inhalten optimiert bleiben. Deaktivieren, wenn Sie Korrekturen lieber manuell auslösen möchten."
"Re-generate SEO rewrites","SEO-Umschreibungen neu generieren"
"When enabled, the system will continuously refine previously generated meta content in subsequent runs until it meets recommended length guidelines and SEO best practices. This iterative improvement helps achieve optimal meta content over time.","Wenn aktiviert, verfeinert das System zuvor generierte Meta-Inhalte in nachfolgenden Durchläufen kontinuierlich, bis sie den empfohlenen Längenrichtlinien und SEO-Best-Practices entsprechen. Diese iterative Verbesserung hilft dabei, optimale Meta-Inhalte im Laufe der Zeit zu erreichen."
"Add store information to context","Shop-Informationen zum Kontext hinzufügen"
"Enhances AI-generated content by including your store's name and description when creating meta content. This provides relevant context to the AI, resulting in more brand-aligned and relevant meta descriptions and titles.","Verbessert KI-generierte Inhalte, indem Name und Beschreibung Ihres Shops beim Erstellen von Meta-Inhalten einbezogen werden. Dies liefert der KI relevanten Kontext, was zu markenkonsistenteren und relevanteren Meta-Beschreibungen und -Titeln führt."
"Store description","Shop-Beschreibung"
"Describe in a few words what types of products your store is selling. This context helps the AI generate more relevant and targeted meta content. This data is not required.","In wenigen Worten beschreiben, welche Arten von Produkten Ihr Shop verkauft. Dieser Kontext hilft der KI, relevantere und gezieltere Meta-Inhalte zu generieren. Diese Angabe ist nicht erforderlich."
"AI helper store context","KI-Assistent Shop-Kontext"
