"Enable Pancake order export","Enable Pancake order export"
"Enable log","Enable log"
"When Yes, FulfillmentCore writes Pancake logs to var/log/fulfillment/pancake/fulfillment.log. Other POS modules have their own flag and folder. Default: No. Does not log api_key or phone numbers.","When Yes, FulfillmentCore writes Pancake logs to var/log/fulfillment/pancake/fulfillment.log. Other POS modules have their own flag and folder. Default: No. Does not log api_key or phone numbers."
"When Yes, Magento-origin orders are pushed to Pancake POS after place, if Fulfillment Core outbound export is also Yes. Leave No until Shop ID, API Key, and at least one active warehouse map exist (Secomm → Pancake POS → Warehouse Mapping). Default: No. Does not import orders created only inside Pancake.","When Yes, Magento-origin orders are pushed to Pancake POS after place, if Fulfillment Core outbound export is also Yes. Leave No until Shop ID, API Key, and at least one active warehouse map exist (Secomm → Pancake POS → Warehouse Mapping). Default: No. Does not import orders created only inside Pancake."
"Base URL","Base URL"
"Pancake POS Open API root. Default and expected value: https://pos.pages.fm/api/v1. Do not use the Pancake Chat/Inbox API. Change only if ops routes calls through a proxy. Used as the prefix for POST /shops/{Shop ID}/orders and GET warehouses.","Pancake POS Open API root. Default and expected value: https://pos.pages.fm/api/v1. Do not use the Pancake Chat/Inbox API. Change only if ops routes calls through a proxy. Used as the prefix for POST /shops/{Shop ID}/orders and GET warehouses."
"Shop ID","Shop ID"
"Numeric Pancake shop id. Get it from the Pancake POS admin URL after you open the shop: the number immediately after /shop/ (example: https://pos.pages.fm/shop/6036602/...). Or call GET {Base URL}/shops?api_key=... and use the shop ""id"". This value is the {SHOP_ID} path segment. Not the Facebook Page ID.","Numeric Pancake shop id. Get it from the Pancake POS admin URL after you open the shop: the number immediately after /shop/ (example: https://pos.pages.fm/shop/6036602/...). Or call GET {Base URL}/shops?api_key=... and use the shop ""id"". This value is the {SHOP_ID} path segment. Not the Facebook Page ID."
"API Key","API Key"
"Create or copy it in Pancake POS: Settings (Cấu hình) → Application configuration (Cấu hình ứng dụng) / Advanced → Third-party connection → Webhook/API → API Key → Add new. The key must be enabled (Bật) on Pancake. Magento stores it encrypted and sends it only as the api_key query parameter. Never commit this value or paste it into tickets.","Create or copy it in Pancake POS: Settings (Cấu hình) → Application configuration (Cấu hình ứng dụng) / Advanced → Third-party connection → Webhook/API → API Key → Add new. The key must be enabled (Bật) on Pancake. Magento stores it encrypted and sends it only as the api_key query parameter. Never commit this value or paste it into tickets."
"Webhook secret","Webhook secret"
"Random string you invent in Magento (Pancake does not issue this secret). Configure Pancake POS Webhook/API with URL https://<store>/pancake/webhook/index?secret=<this value> and webhook type orders. Empty disables the check — do not leave empty on a public store. Poll below still runs as fallback.","Random string you invent in Magento (Pancake does not issue this secret). Configure Pancake POS Webhook/API with URL https://<store>/pancake/webhook/index?secret=<this value> and webhook type orders. Empty disables the check — do not leave empty on a public store. Poll below still runs as fallback."
"Poll Magento-origin POS orders","Poll Magento-origin POS orders"
"When Yes, cron secomm_pancake_poll_orders (every 15 minutes) calls GET /shops/{Shop ID}/orders/{external id} only for rows already exported from Magento (push_status success). It does not pull orders created only in Pancake. Requires Enable + Shop ID + API Key. Up to 40 mapped orders per run. Default: Yes. Independent of the webhook secret.","When Yes, cron secomm_pancake_poll_orders (every 15 minutes) calls GET /shops/{Shop ID}/orders/{external id} only for rows already exported from Magento (push_status success). It does not pull orders created only in Pancake. Requires Enable + Shop ID + API Key. Up to 40 mapped orders per run. Default: Yes. Independent of the webhook secret."
"Magento MSI Source","Magento MSI Source"
"Loaded from Magento Inventory sources (Stores → Inventory → Sources), not from Pancake. This is the source Magento uses when the order is exported. One source can map to only one Pancake warehouse.","Loaded from Magento Inventory sources (Stores → Inventory → Sources), not from Pancake. This is the source Magento uses when the order is exported. One source can map to only one Pancake warehouse."
"Pancake Warehouse","Pancake Warehouse"
"Loaded live from Pancake POS GET /shops/{Shop ID}/warehouses using the API Key in Stores → Configuration → Secomm Extensions → Pancake POS. If the list is empty, set Shop ID and API Key first and confirm the key is enabled on Pancake. One warehouse can map to only one Magento source. Unmapped sources block the order push (error warehouse_unmapped).","Loaded live from Pancake POS GET /shops/{Shop ID}/warehouses using the API Key in Stores → Configuration → Secomm Extensions → Pancake POS. If the list is empty, set Shop ID and API Key first and confirm the key is enabled on Pancake. One warehouse can map to only one Magento source. Unmapped sources block the order push (error warehouse_unmapped)."
"Active","Active"
"Only active rows are used at export. Inactive maps are ignored; the order then fails with warehouse_unmapped until another active map exists for that MSI source.","Only active rows are used at export. Inactive maps are ignored; the order then fails with warehouse_unmapped until another active map exists for that MSI source."
"No warehouses (check Pancake API config)","No warehouses (check Pancake API config)"
