"Conditions","Warunki"
"Wrong request.","Nieprawidłowe żądanie."
"Rich snippet extender has been deleted.","Rozszerzenie rich snippet zostało usunięte."
"Edit rich snippet extender","Edytuj rozszerzenie rich snippet"
"Rich snippet extender with ID ""%1"" does not exist.","Rozszerzenie rich snippet o ID ""%1"" nie istnieje."
"Rich snippet extenders","Rozszerzenia rich snippet"
"New rich snippet extender","Nowe rozszerzenie rich snippet"
"No data to save.","Brak danych do zapisania."
"Rich snippet extender no longer exists.","Rozszerzenie rich snippet już nie istnieje."
"Incorrect JSON format","Nieprawidłowy format JSON"
"Rich snippet extender has been saved.","Rozszerzenie rich snippet zostało zapisane."
"Disabled","Wyłączony"
"Use description","Użyj opisu"
"Use meta description","Użyj meta opisu"
"No","Nie"
"Yes, for all categories","Tak, dla wszystkich kategorii"
"Yes, only for non-filtered categories","Tak, tylko dla niefiltrowanych kategorii"
"Full (OfferCatalog)","Pełny (OfferCatalog)"
"Simple (ItemList)","Prosty (ItemList)"
"Aggregate Product","Produkt zbiorczy"
"Current page","Bieżąca strona"
"Entire category","Cała kategoria"
"Yes, for all landing pages","Tak, dla wszystkich stron docelowych"
"Yes, only for non-filtered landing pages","Tak, tylko dla niefiltrowanych stron docelowych"
"Entire landing page","Cała strona docelowa"
"Homepage only","Tylko strona główna"
"All CMS pages","Wszystkie strony CMS"
"Specific CMS pages","Określone strony CMS"
"Add from store information","Dodaj z informacji o sklepie"
"Add manually","Dodaj ręcznie"
"Default (from configuration)","Domyślny (z konfiguracji)"
"WebPage","WebPage"
"Article","Article"
"BlogPosting","BlogPosting"
"AboutPage","AboutPage"
"ContactPage","ContactPage"
"Use short description","Użyj krótkiego opisu"
"Configure manually","Skonfiguruj ręcznie"
"New for all products","Nowy dla wszystkich produktów"
"Kilograms (kg)","Kilogramy (kg)"
"Pounds (lb)","Funty (lb)"
"Grams (g)","Gramy (g)"
"Search in the catalog of products","Szukaj w katalogu produktów"
"Search in the blog articles","Szukaj w artykułach bloga"
"Summary card","Karta podsumowania"
"Summary card with large image","Karta podsumowania z dużym obrazem"
"The rich snippet extender with ID ""%1"" doesn't exist.","Rozszerzenie rich snippet o ID ""%1"" nie istnieje."
"Edit","Edytuj"
"Delete","Usuń"
"Delete record with ID %1","Usuń rekord o ID %1"
"Are you sure you want to delete this rich snippet extender?","Czy na pewno chcesz usunąć to rozszerzenie rich snippet?"
"Template variables","Zmienne szablonu"
"learn more","dowiedz się więcej"
"Double click on a variable to insert it into the field","Kliknij dwukrotnie zmienną, aby wstawić ją do pola"
"Learn more about template variables","Dowiedz się więcej o zmiennych szablonu"
"Rich snippets and OpenGraph","Rich snippets i OpenGraph"
"Product page","Strona produktu"
