"Conditions","条件"
"Wrong request.","不正なリクエストです。"
"Rich snippet extender has been deleted.","リッチスニペット拡張機能が削除されました。"
"Edit rich snippet extender","リッチスニペット拡張機能を編集"
"Rich snippet extender with ID ""%1"" does not exist.","ID ""%1"" のリッチスニペット拡張機能は存在しません。"
"Rich snippet extenders","リッチスニペット拡張機能"
"New rich snippet extender","新しいリッチスニペット拡張機能"
"No data to save.","保存するデータがありません。"
"Rich snippet extender no longer exists.","リッチスニペット拡張機能はすでに存在しません。"
"Incorrect JSON format","JSON形式が不正です"
"Rich snippet extender has been saved.","リッチスニペット拡張機能が保存されました。"
"Disabled","無効"
"Use description","説明を使用"
"Use meta description","メタディスクリプションを使用"
"No","いいえ"
"Yes, for all categories","はい、すべてのカテゴリに"
"Yes, only for non-filtered categories","はい、フィルタリングされていないカテゴリのみ"
"Full (OfferCatalog)","フル (OfferCatalog)"
"Simple (ItemList)","シンプル (ItemList)"
"Aggregate Product","アグリゲート商品"
"Current page","現在のページ"
"Entire category","カテゴリ全体"
"Yes, for all landing pages","はい、すべてのランディングページに"
"Yes, only for non-filtered landing pages","はい、フィルタリングされていないランディングページのみ"
"Entire landing page","ランディングページ全体"
"Homepage only","ホームページのみ"
"All CMS pages","すべてのCMSページ"
"Specific CMS pages","特定のCMSページ"
"Add from store information","ストア情報から追加"
"Add manually","手動で追加"
"Default (from configuration)","デフォルト（設定から）"
"WebPage","ウェブページ"
"Article","記事"
"BlogPosting","ブログ投稿"
"AboutPage","会社概要ページ"
"ContactPage","お問い合わせページ"
"Use short description","短い説明を使用"
"Configure manually","手動で設定"
"New for all products","すべての商品に新品"
"Kilograms (kg)","キログラム (kg)"
"Pounds (lb)","ポンド (lb)"
"Grams (g)","グラム (g)"
"Search in the catalog of products","商品カタログを検索"
"Search in the blog articles","ブログ記事を検索"
"Summary card","サマリーカード"
"Summary card with large image","大きい画像付きサマリーカード"
"The rich snippet extender with ID ""%1"" doesn't exist.","ID ""%1"" のリッチスニペット拡張機能は存在しません。"
"Edit","編集"
"Delete","削除"
"Delete record with ID %1","ID %1 のレコードを削除"
"Are you sure you want to delete this rich snippet extender?","このリッチスニペット拡張機能を削除してもよろしいですか？"
"Template variables","テンプレート変数"
"learn more","詳細を見る"
"Double click on a variable to insert it into the field","変数をダブルクリックしてフィールドに挿入してください"
"Learn more about template variables","テンプレート変数の詳細を見る"
"Rich snippets and OpenGraph","リッチスニペットとOpenGraph"
"Product page","商品ページ"
"Configure rich snippets for product pages to improve search engine visibility. These settings enhance how your products appear in search results with additional information like pricing, availability, and reviews.","検索エンジンでの視認性を向上させるために商品ページのリッチスニペットを設定してください。これらの設定は、価格、在庫状況、レビューなどの追加情報とともに商品が検索結果に表示される方法を向上させます。"
"Delete wrong snippets automatically","誤ったスニペットを自動削除"
"Automatically removes incorrect structured data from product pages. Helps maintain clean markup and prevent schema validation issues.","商品ページから不正な構造化データを自動的に削除します。クリーンなマークアップを維持し、スキーマ検証の問題を防ぐのに役立ちます。"
"Enable rich snippet","リッチスニペットを有効化"
"Activates structured data markup for product pages. This is the master switch for all product-related rich snippets.","商品ページの構造化データマークアップを有効にします。これはすべての商品関連リッチスニペットのマスタースイッチです。"
"Item name length","アイテム名の長さ"
"Maximum character length for item name in structured data.","構造化データのアイテム名の最大文字数。"
"The maximum value recommended by Google is 150. Values below 25 will default to 150. If the value is empty or 0, no limit is applied.","Googleが推奨する最大値は150です。25未満の値はデフォルトで150になります。値が空または0の場合、制限は適用されません。"
"Item price","アイテム価格"
"Includes product pricing information in OpenGraph and Rich Snippets. Warning: disabling this will remove price from structured data and may cause Google Rich Results validation errors, as price is required for valid Product rich snippets.","OpenGraphとリッチスニペットに商品価格情報を含めます。警告: これを無効にすると構造化データから価格が削除され、有効な商品リッチスニペットには価格が必要なため、Google Rich Resultsの検証エラーが発生する可能性があります。"
"Single price mode","シングル価格モード"
"When enabled, uses schema.org Offer type with a single price value instead of AggregateOffer type with price ranges. This changes the structured data from multiple offer aggregation to a single offer representation.","有効にすると、価格帯のAggregateOfferタイプの代わりに単一の価格値でschema.org Offerタイプを使用します。これにより、構造化データが複数のオファー集約から単一のオファー表現に変わります。"
"Include price valid until","価格有効期限を含める"
"This helps search engines understand price temporal validity and can improve accuracy in price comparison features. Useful for promotional pricing, time-limited offers, or regularly updated pricing structures.","これにより、検索エンジンが価格の時間的有効性を理解し、価格比較機能の精度を向上させることができます。プロモーション価格、期間限定オファー、定期的に更新される価格構造に便利です。"
"Item description","アイテム説明"
"Controls which product description field is used in structured data. Select the most appropriate source for comprehensive product information.","構造化データで使用される商品説明フィールドを制御します。包括的な商品情報の最も適切なソースを選択してください。"
"Item description length","アイテム説明の長さ"
"Maximum character length for item description in structured data.","構造化データのアイテム説明の最大文字数。"
"The maximum value recommended by Google is 5000. Values below 25 will default to 5000. If the value is empty or 0, no limit is applied.","Googleが推奨する最大値は5000です。25未満の値はデフォルトで5000になります。値が空または0の場合、制限は適用されません。"
"Item image","アイテム画像"
"Includes product images in structured data. This enables visual representation of products in search results and rich snippets.","構造化データに商品画像を含めます。これにより、検索結果とリッチスニペットで商品のビジュアル表現が可能になります。"
"Item availability","アイテムの在庫状況"
"Shows product inventory status in structured data. This helps communicate stock levels to potential customers directly in search results.","構造化データで商品の在庫状況を表示します。これにより、検索結果で潜在的な顧客に直接在庫レベルを伝えることができます。"
"Payment methods","支払い方法"
"Lists accepted payment methods in structured data. This provides transparency about payment options before visitors click through.","構造化データで受け入れ可能な支払い方法を一覧表示します。これにより、訪問者がクリックする前に支払いオプションの透明性が提供されます。"
"Delivery methods","配送方法"
"Includes shipping and delivery options in structured data. This helps set customer expectations regarding fulfillment methods.","構造化データに配送オプションを含めます。これにより、フルフィルメント方法に関する顧客の期待設定に役立ちます。"
"Product category","商品カテゴリ"
"Displays category information in product structured data. This helps establish product classification context for search engines.","商品構造化データにカテゴリ情報を表示します。これにより、検索エンジンの商品分類コンテキストの確立に役立ちます。"
"Manufacturer part number","メーカー部品番号"
"Includes manufacturer part numbers in structured data. This improves discoverability for specific product searches by technical identifiers.","構造化データにメーカー部品番号を含めます。これにより、技術的な識別子による特定の商品検索での発見可能性が向上します。"
"Manufacturer part number attribute","メーカー部品番号属性"
"Specify which product attribute contains the manufacturer part number data. The system will read this attribute to populate structured data.","メーカー部品番号データを含む商品属性を指定してください。システムはこの属性を読み取って構造化データに入力します。"
"Brand attribute","ブランド属性"
"Specify which product attribute contains brand information. This maps your existing brand data to structured markup.","ブランド情報を含む商品属性を指定してください。これにより、既存のブランドデータが構造化マークアップにマッピングされます。"
"Model attribute","モデル属性"
"Specify which product attribute contains model information. Helps identify specific product models in structured data.","モデル情報を含む商品属性を指定してください。構造化データで特定の商品モデルを識別するのに役立ちます。"
"Color attribute","カラー属性"
"Specify which product attribute contains color information. Important for product variants and filtering in rich results.","カラー情報を含む商品属性を指定してください。商品バリアントとリッチ結果でのフィルタリングに重要です。"
"Size attribute","サイズ属性"
"Specify which product attribute contains size information. Relevant for apparel and dimensional product data.","サイズ情報を含む商品属性を指定してください。衣料品および寸法商品データに関連しています。"
"Material attribute","素材属性"
"Specify which product attribute contains material information (e.g. ""material"", ""fabric""). Outputs as a direct schema.org property on Product.","素材情報を含む商品属性を指定してください（例: ""material""、""fabric""）。Productのschema.orgプロパティとして直接出力されます。"
"Pattern attribute","パターン属性"
"Specify which product attribute contains pattern information (e.g. ""pattern""). Outputs as a direct schema.org property on Product.","パターン情報を含む商品属性を指定してください（例: ""pattern""）。Productのschema.orgプロパティとして直接出力されます。"
"Weight unit","重量単位"
"Select the standard measurement unit used for product weights. Ensures consistent weight representation in structured data.","商品の重量に使用する標準測定単位を選択してください。構造化データでの一貫した重量表現を保証します。"
"Dimensions","寸法"
"Enable dimensional measurements in structured data. Important for physical products where size matters to customers.","構造化データで寸法測定を有効にします。顧客にとってサイズが重要な物理的な商品に重要です。"
"Unit","単位"
"Specify the measurement unit for product dimensions (e.g., inches, cm). Maintains consistency in dimensional representation.","商品の寸法の測定単位を指定してください（例: インチ、cm）。寸法表現の一貫性を維持します。"
"Height attribute","高さ属性"
"Specify which product attribute contains height measurements. Maps your height data to structured markup.","高さ測定値を含む商品属性を指定してください。高さデータを構造化マークアップにマッピングします。"
"Width attribute","幅属性"
"Specify which product attribute contains width measurements. Maps your width data to structured markup.","幅測定値を含む商品属性を指定してください。幅データを構造化マークアップにマッピングします。"
"Depth attribute","奥行き属性"
"Specify which product attribute contains depth measurements. Maps your depth data to structured markup.","奥行き測定値を含む商品属性を指定してください。奥行きデータを構造化マークアップにマッピングします。"
"Product condition","商品の状態"
"Indicate whether products are new, used, or refurbished. This is important for marketplaces and resellers.","商品が新品、中古、または再生品かどうかを示してください。これはマーケットプレイスや販売店にとって重要です。"
"Condition attribute","状態属性"
"Specify which product attribute contains condition information. The system will read this attribute for condition data.","状態情報を含む商品属性を指定してください。システムはこの属性を読み取って状態データを取得します。"
"New attribute value","新品の属性値"
"Specify the exact attribute value that indicates a product is new. This maps your internal values to schema.org standards.","商品が新品であることを示す正確な属性値を指定してください。内部値をschema.org標準にマッピングします。"
"Used attribute value","中古の属性値"
"Specify the exact attribute value that indicates a product is used. This maps your internal values to schema.org standards.","商品が中古品であることを示す正確な属性値を指定してください。内部値をschema.org標準にマッピングします。"
"Refurbished attribute value","再生品の属性値"
"Specify the exact attribute value that indicates a product is refurbished. This maps your internal values to schema.org standards.","商品が再生品であることを示す正確な属性値を指定してください。内部値をschema.org標準にマッピングします。"
"Damaged attribute value","破損品の属性値"
"Specify the exact attribute value that indicates a product is damaged. This maps your internal values to schema.org standards.","商品が破損していることを示す正確な属性値を指定してください。内部値をschema.org標準にマッピングします。"
"Individual review markup","個別レビューマークアップ"
"Include markup for each individual product review. This enables rich display of review content in search results beyond aggregate ratings.","各商品レビューにマークアップを含めます。これにより、集計評価を超えた検索結果でのレビューコンテンツのリッチ表示が可能になります。"
"Add rich snippets for product variants","商品バリアントにリッチスニペットを追加"
"Include structured data for product variations like different colors or sizes. This helps search engines understand your complete product offering.","異なる色やサイズなどの商品バリエーションの構造化データを含めます。これにより、検索エンジンが完全な商品ラインナップを理解するのに役立ちます。"
"<strong><u>GTIN configuration:</u></strong>","<strong><u>GTIN設定:</u></strong>"
"GTIN-8 attribute","GTIN-8属性"
"Specify which attribute contains 8-digit GTIN/EAN codes. Important for international product identification.","8桁のGTIN/EANコードを含む属性を指定してください。国際的な製品識別に重要です。"
"GTIN-12 attribute","GTIN-12属性"
"Specify which attribute contains 12-digit GTIN/UPC codes. Standard for North American product identification.","12桁のGTIN/UPCコードを含む属性を指定してください。北米の製品識別の標準です。"
"GTIN-13 attribute","GTIN-13属性"
"Specify which attribute contains 13-digit GTIN/EAN codes. Common international product identification format.","13桁のGTIN/EANコードを含む属性を指定してください。一般的な国際製品識別形式です。"
"GTIN-14 attribute","GTIN-14属性"
"Specify which attribute contains 14-digit GTIN codes. Used for packaging levels in supply chain identification.","14桁のGTINコードを含む属性を指定してください。サプライチェーン識別のパッケージングレベルに使用されます。"
"Category page","カテゴリページ"
"Control how category pages are represented in search results. These settings help search engines better understand your category structure and improve the display of category information in search results.","検索結果でのカテゴリページの表示方法を制御します。これらの設定は検索エンジンがカテゴリ構造をよりよく理解し、検索結果でのカテゴリ情報の表示を向上させるのに役立ちます。"
"Automatically removes incorrect structured data from category pages. Helps maintain clean markup and prevent schema validation issues.","カテゴリページから不正な構造化データを自動的に削除します。クリーンなマークアップを維持し、スキーマ検証の問題を防ぐのに役立ちます。"
"Activates structured data markup for category pages. This enables enhanced search result displays for category listings.","カテゴリページの構造化データマークアップを有効にします。これにより、カテゴリリストの強化された検索結果表示が可能になります。"
"Category description","カテゴリ説明"
"Controls which description field is used in category structured data. Select the source that best represents your category content.","カテゴリ構造化データで使用される説明フィールドを制御します。カテゴリコンテンツを最もよく表すソースを選択してください。"
"Category image","カテゴリ画像"
"Includes category thumbnail images in structured data. Helps provide visual context in search and social sharing.","構造化データにカテゴリのサムネイル画像を含めます。検索とソーシャルシェアリングにビジュアルコンテキストを提供するのに役立ちます。"
"Product offers","商品オファー"
"Controls whether and how product information is included in category structured data. This can show available products within categories. Warning: ""Entire category"" mode outputs all products regardless of current page, which violates Google's guidelines requiring structured data to reflect visible page content, may be treated as spammy markup, and can significantly increase page load time for large categories.","カテゴリ構造化データに商品情報を含めるかどうか、また含める方法を制御します。カテゴリ内の利用可能な商品を表示できます。警告: ""カテゴリ全体""モードは現在のページに関わらずすべての商品を出力し、可視ページコンテンツを反映する構造化データを必要とするGoogleのガイドラインに違反し、スパムマークアップとして扱われる可能性があり、大きなカテゴリのページ読み込み時間を大幅に増加させる可能性があります。"
"Product offers format","商品オファーフォーマット"
"Determines how product data is formatted within category structured data. ""Aggregate Product"" outputs single Product schema with price range from whole category.","カテゴリ構造化データ内で商品データがフォーマットされる方法を決定します。""アグリゲート商品""はカテゴリ全体の価格帯を持つ単一の商品スキーマを出力します。"
"Brand name","ブランド名"
"Brand name for aggregate Product schema. Leave empty to use store name or brand name for brand pages.","アグリゲート商品スキーマのブランド名。ストア名またはブランドページのブランド名を使用するには空白にしてください。"
"Include aggregate rating","集計評価を含める"
"Include aggregated rating from all products in category for aggregate Product schema.","アグリゲート商品スキーマのカテゴリ内すべての商品からの集計評価を含めます。"
"Exclude products with price 0","価格0の商品を除外"
"When enabled, products with price 0 will be excluded from the aggregate offer calculation. This prevents lowPrice from showing 0 when category contains free products.","有効にすると、価格0の商品はアグリゲートオファーの計算から除外されます。これにより、カテゴリに無料商品が含まれている場合に最低価格が0と表示されるのを防ぎます。"
"Enable OpenGraph","OpenGraphを有効化"
"Activates OpenGraph metadata for category pages. This controls how category pages appear when shared on social media platforms.","カテゴリページのOpenGraphメタデータを有効にします。これにより、ソーシャルメディアプラットフォームで共有された際のカテゴリページの表示を制御します。"
"CMS page","CMSページ"
