"API key is not configured.","API key is not configured."
"AI request failed: %1","AI request failed: %1"
"SEO AI helper","SEO AI helper"
"General settings","General settings"
"Configure the core settings for the SEO AI helper functionality.","Configure the core settings for the SEO AI helper functionality."
"Enable SEO AI helper","Enable SEO AI helper"
"Activates the AI-powered SEO optimization features throughout your Magento store.","Activates the AI-powered SEO optimization features throughout your Magento store."
"Use Core AI settings","Use Core AI settings"
"When enabled: Uses global AI settings from Core module (recommended)<br>When disabled: Uses the module-specific settings below","When enabled: Uses global AI settings from Core module (recommended)<br>When disabled: Uses the module-specific settings below"
"AI provider","AI provider"
"Select the AI provider for SEO content generation.","Select the AI provider for SEO content generation."
"AI model","AI model"
"Select the AI model for content generation. Available models depend on the selected provider.","Select the AI model for content generation. Available models depend on the selected provider."
"API key","API key"
"<a href=""https://platform.openai.com/api-keys"" target=""_blank"">Get OpenAI API key</a>","<a href=""https://platform.openai.com/api-keys"" target=""_blank"">Get OpenAI API key</a>"
"<a href=""https://console.anthropic.com/settings/keys"" target=""_blank"">Get Anthropic API key</a>","<a href=""https://console.anthropic.com/settings/keys"" target=""_blank"">Get Anthropic API key</a>"
"<a href=""https://aistudio.google.com/apikey"" target=""_blank"">Get Google AI Studio API key</a>","<a href=""https://aistudio.google.com/apikey"" target=""_blank"">Get Google AI Studio API key</a>"
"AI helper","AI helper"
"Configure how the AI assistant automatically improves your store's SEO performance based on audit results.","Configure how the AI assistant automatically improves your store's SEO performance based on audit results."
"Automatically fix meta-related issues","Automatically fix meta-related issues"
"When enabled, the system will automatically generate and apply SEO rewrites to fix issues with meta titles, descriptions, and other meta elements identified during audits. This helps maintain SEO best practices across your site without manual intervention.","When enabled, the system will automatically generate and apply SEO rewrites to fix issues with meta titles, descriptions, and other meta elements identified during audits. This helps maintain SEO best practices across your site without manual intervention."
"Enable cron task","Enable cron task"
"Schedule automatic SEO fixes to run every 30 minutes via Magento's cron system. This ensures your site's meta information remains optimized even as new content is added. Disable if you prefer to trigger fixes manually.","Schedule automatic SEO fixes to run every 30 minutes via Magento's cron system. This ensures your site's meta information remains optimized even as new content is added. Disable if you prefer to trigger fixes manually."
"Re-generate SEO rewrites","Re-generate SEO rewrites"
"When enabled, the system will continuously refine previously generated meta content in subsequent runs until it meets recommended length guidelines and SEO best practices. This iterative improvement helps achieve optimal meta content over time.","When enabled, the system will continuously refine previously generated meta content in subsequent runs until it meets recommended length guidelines and SEO best practices. This iterative improvement helps achieve optimal meta content over time."
"Add store information to context","Add store information to context"
"Enhances AI-generated content by including your store's name and description when creating meta content. This provides relevant context to the AI, resulting in more brand-aligned and relevant meta descriptions and titles.","Enhances AI-generated content by including your store's name and description when creating meta content. This provides relevant context to the AI, resulting in more brand-aligned and relevant meta descriptions and titles."
"Store description","Store description"
"Describe in a few words what types of products your store is selling. This context helps the AI generate more relevant and targeted meta content. This data is not required.","Describe in a few words what types of products your store is selling. This context helps the AI generate more relevant and targeted meta content. This data is not required."
"AI helper store context","AI helper store context"
