"Conditions","Voorwaarden"
"Rule conditions (leave blank to use only regular expression)","Regelvoorwaarden (leeg laten om alleen reguliere expressies te gebruiken)"
"Checklist","Controlelijst"
"Duplicateinfo","Duplicateinfo"
"Store Id","Winkel-ID"
"Category Path","Categoriepad"
"Category Id","Categorie-ID"
"Current request path","Huidig aanvraagpad"
"URL key","URL-sleutel"
"Root Catalog (ID: 1)","Hoofdcatalogus (ID: 1)"
"(ID: %1)","(ID: %1)"
"Redirects","Doorverwijzingen"
"Canonical rewrite","Canonieke herschrijving"
"Cross-links","Kruislinks"
"Sitemap","Sitemap"
"Settings","Instellingen"
"User manual","Gebruikershandleiding"
"Get support","Ondersteuning krijgen"
"Add New Redirect","Nieuwe doorverwijzing toevoegen"
"Import/Export redirects","Doorverwijzingen importeren/exporteren"
"Rewrite manager","Herschrijvingsbeheer"
"Add rewrite","Herschrijving toevoegen"
"Store group","Winkelgroep"
"Hreflang","Hreflang"
"Store","Winkel"
"Add","Toevoegen"
"(Id: %1)","(Id: %1)"
"Stores","Winkels"
"button_label","button_label"
"Attribute","Attribuut"
"Usage","Gebruik"
"Page type","Paginatype"
"Remove parent category path","Bovenliggend categoriepad verwijderen"
"URL pattern","URL-patroon"
"Option","Optie"
"Meta title","Metatitel"
"Meta keywords","Metatrefwoorden"
"Meta description","Metabeschrijving"
"Title (H1)","Titel (H1)"
"SEO description","SEO-beschrijving"
"Product short description","Korte productbeschrijving"
"Product description","Productbeschrijving"
"Add SEO Template","SEO-sjabloon toevoegen"
"Home","Startpagina"
"Go to Home Page","Naar startpagina"
"SEO","SEO"
"This row no longer exists.","Deze rij bestaat niet meer."
"New canonical rewrite","Nieuwe canonieke herschrijving"
"%1 item(s) was removed","%1 item(s) verwijderd"
"Please select item(s)","Selecteer item(s)"
"Edit canonical rewrite ID: %1","Canonieke herschrijving bewerken ID: %1"
"Total of %1 record(s) were successfully disabled","In totaal %1 record(s) zijn uitgeschakeld"
"Total of %1 record(s) were successfully enabled","In totaal %1 record(s) zijn ingeschakeld"
"Row was saved.","Rij is opgeslagen."
"No data to save.","Geen gegevens om op te slaan."
"SEO Checklist","SEO-controlelijst"
"Create a unique url key for all of your categories listed on this table. If the table is empty, this means that you do not have duplicate keys and can push the ""<a href=""%1"" target=""_blank"">Remove parent category path</a>"" button to change category urls.","Maak een unieke URL-sleutel aan voor alle categorieën in deze tabel. Als de tabel leeg is, zijn er geen dubbele sleutels en kunt u op de knop ""<a href=""%1"" target=""_blank"">Bovenliggend categoriepad verwijderen</a>"" klikken om categorie-URL's te wijzigen."
"Category duplicate urls","Dubbele categorie-URL's"
"Add redirect","Doorverwijzing toevoegen"
"Item was successfully deleted","Item is verwijderd"
"Edit redirect","Doorverwijzing bewerken"
"The item does not exist.","Het item bestaat niet."
"Total of %1 record(s) were successfully deleted","In totaal %1 record(s) zijn verwijderd"
"Item was successfully saved","Item is opgeslagen"
"Unable to find an item to save","Kan geen item vinden om op te slaan"
"There is no sample file for this entity.","Er is geen voorbeeldbestand voor deze entiteit."
"%1 records were inserted or updated","%1 records zijn ingevoegd of bijgewerkt"
"URLs have been processed.","URL's zijn verwerkt."
"Something went wrong.","Er is iets misgegaan."
"Missing canonical URL.","Ontbrekende canonieke URL."
"%1 canonical on the page.","%1 canoniek op de pagina."
"Canonical created not using Mirasvit SEO extension.","Canoniek aangemaakt zonder gebruik van de Mirasvit SEO-extensie."
"There is no H1 tag on the page.","Er is geen H1-tag op de pagina."
"One H1 tag","Één H1-tag"
"%1 H1 tags.","%1 H1-tags."
"Length = %1. Recommended length up to %2 characters.","Lengte = %1. Aanbevolen lengte tot %2 tekens."
"Meta title not defined.","Metatitel niet gedefinieerd."
"Meta description not defined.","Metabeschrijving niet gedefinieerd."
"Meta keywords not defined.","Metatrefwoorden niet gedefinieerd."
"Some alt tags are empty or missing.","Sommige alt-tags zijn leeg of ontbreken."
"Total number of images","Totaal aantal afbeeldingen"
"Images without alt attribute","Afbeeldingen zonder alt-attribuut"
"Images with empty alt attribute","Afbeeldingen met leeg alt-attribuut"
"%1 images with correct alt attribute.","%1 afbeeldingen met correct alt-attribuut."
"Conditions combination","Combinatie van voorwaarden"
"Categories and layered navigation","Categorieën en gelaagde navigatie"
"Products","Producten"
"Product attributes","Productattributen"
"Products additional","Extra producten"
"Attribute set","Attribuutset"
"Category","Categorie"
"Created (days ago)","Aangemaakt (dagen geleden)"
"Updated (days ago)","Bijgewerkt (dagen geleden)"
"Quantity","Hoeveelheid"
"Price - Final Price","Prijs - Eindprijs"
"Percent Discount","Procentuele korting"
"Open Chooser","Kiezer openen"
"Disabled","Uitgeschakeld"
"Enabled for all websites","Ingeschakeld voor alle websites"
"Configure","Configureren"
"Add automatically","Automatisch toevoegen"
"Add all selected options","Alle geselecteerde opties toevoegen"
"Add if only one option selected","Toevoegen als slechts één optie geselecteerd"
"Without filters","Zonder filters"
"With all filters","Met alle filters"
"Default","Standaard"
"Parent product","Bovenliggend product"
"Use Robots meta header","Robots meta-header gebruiken"
"Enabled","Ingeschakeld"
"Enabled if cookie exist","Ingeschakeld als cookie bestaat"
"Right","Rechts"
"Left","Links"
"Active","Actief"
"Inactive","Inactief"
"Don't change","Niet wijzigen"
"NOINDEX, NOFOLLOW","NOINDEX, NOFOLLOW"
"NOINDEX, FOLLOW","NOINDEX, FOLLOW"
"INDEX, NOFOLLOW","INDEX, NOFOLLOW"
"INDEX, FOLLOW","INDEX, FOLLOW"
"Default first","Standaard eerst"
"Custom","Aangepast"
"Brand only","Alleen merk"
"Category + Brand","Categorie + Merk"
"Direct link","Directe link"
"Shortest path","Kortste pad"
"Longest path","Langste pad"
"Long","Lang"
"Short","Kort"
"Include categories path to Product URLs","Categoriepad opnemen in product-URL's"
"Don't include categories path to Product URLs","Categoriepad niet opnemen in product-URL's"
"301 Moved permanently","301 Permanent verplaatst"
"302 Object moved","302 Object verplaatst"
"307 Temporary redirect","307 Tijdelijke doorverwijzing"
"Total number of products with reviews","Totaal aantal producten met beoordelingen"
"Total number of reviews","Totaal aantal beoordelingen"
"Redirect to the same page with trailing slash","Doorverwijzen naar dezelfde pagina met afsluitende schuine streep"
"Redirect to the same page without trailing slash","Doorverwijzen naar dezelfde pagina zonder afsluitende schuine streep"
"Parent category path has been removed.","Bovenliggend categoriepad is verwijderd."
"Alternate Settings","Alternatieve instellingen"
"Alternate group","Alternatieve groep"
"Open Graph Image Url","Open Graph-afbeelding-URL"
"Wrong Hreflang locale code value: ""%1"". Must use the <a target=""_blank"" href=""http://en.wikipedia.org/wiki/ISO_3166-1_alpha-2"">ISO 3166-1 Alpha 2 format</a>","Verkeerde waarde voor Hreflang-landinstelling: ""%1"". Gebruik het <a target=""_blank"" href=""http://en.wikipedia.org/wiki/ISO_3166-1_alpha-2"">ISO 3166-1 Alpha 2-formaat</a>"
"Template for URL key of Product Images","Sjabloon voor URL-sleutel van productafbeeldingen"
"Template for Product Images Alt","Sjabloon voor alt-tekst van productafbeeldingen"
"Template for Product Images Title","Sjabloon voor titel van productafbeeldingen"
"The store can't be indexed when closed to robots and crawlers.","De winkel kan niet worden geïndexeerd wanneer deze gesloten is voor robots en crawlers."
"The page needs to display a correct title and store description in search results.","De pagina moet een correcte titel en winkelbeschrijving in de zoekresultaten weergeven."
"Unable to run test, the robots.txt file is empty","Kan test niet uitvoeren, het robots.txt-bestand is leeg"
"Get a deeper understanding of your customers. Google Analytics gives you the free tools you need to analyze data for your business in one place.","Krijg een beter inzicht in uw klanten. Google Analytics biedt u de gratis tools die u nodig heeft om gegevens voor uw bedrijf op één plek te analyseren."
"Please enable the Mirasvit_SeoSitemap module by running the following command: <pre>bin/magento module:enable Mirasvit_SeoSitemap</pre>","Activeer de module Mirasvit_SeoSitemap door het volgende commando uit te voeren: <pre>bin/magento module:enable Mirasvit_SeoSitemap</pre>"
"Enhanced search results that provide additional information to searchers on the contents of a page. Google and other search engines use structured data, contained within the HTML, or Javascript of a webpage, to form these snippets.","Verbeterde zoekresultaten die zoekers aanvullende informatie geven over de inhoud van een pagina. Google en andere zoekmachines gebruiken gestructureerde gegevens in de HTML of Javascript van een webpagina om deze fragmenten te vormen."
"Using product names or other variables as image filenames is more descriptive to search engines than using random characters or numbers.","Het gebruik van productnamen of andere variabelen als afbeeldingsbestandsnamen is beschrijvender voor zoekmachines dan het gebruik van willekeurige tekens of cijfers."
"Alt tags provide a text alternative for an image for search engines and those using screen readers to access a web page.","Alt-tags bieden een tekstalternatief voor een afbeelding voor zoekmachines en gebruikers van schermlezers om een webpagina te openen."
"When the ""Use meta tags from products if they are not empty"" option is set to ""Yes"", it will affect this template. Read more","Wanneer de optie ""Metatags van producten gebruiken als ze niet leeg zijn"" is ingesteld op ""Ja"", heeft dit invloed op dit sjabloon. Meer informatie"
"When the ""Use meta tags from categories if they are not empty"" option is set to ""Yes"", it will affect this template. Read more","Wanneer de optie ""Metatags van categorieën gebruiken als ze niet leeg zijn"" is ingesteld op ""Ja"", heeft dit invloed op dit sjabloon. Meer informatie"
"Blog Data","Bloggegevens"
"Brand Data","Merkgegevens"
"Category Data","Categoriegegevens"
"CMS Page Data","CMS-paginagegevens"
"Filter Data","Filtergegevens"
"Landing Page Data","Landingspaginagegevens"
"Current Page Data","Huidige paginagegevens"
"Pagination","Paginering"
"Page %1","Pagina %1"
"Product Data","Productgegevens"
"Store Data","Winkelgegevens"
"Reversed by TrailingSlashService","Omgekeerd door TrailingSlashService"
"Auto-generated by TrailingSlashService","Automatisch gegenereerd door TrailingSlashService"
"Product ID: %1 Store ID: %2 Url Key: %3","Product-ID: %1 Winkel-ID: %2 URL-sleutel: %3"
"Already used url key","URL-sleutel al in gebruik"
"Empty url key","Lege URL-sleutel"
"Duplicate used url key","Dubbele URL-sleutel in gebruik"
"Updated url key","Bijgewerkte URL-sleutel"
"Edit","Bewerken"
"Delete","Verwijderen"
"Delete item?","Item verwijderen?"
"Back","Terug"
"Are you sure you want to do this?","Weet u zeker dat u dit wilt doen?"
"Reset","Opnieuw instellen"
"Resets input fields values","Stelt de waarden van invoervelden opnieuw in"
"Save and continue edit","Opslaan en bewerken voortzetten"
"Save","Opslaan"
"All store views","Alle winkelweergaven"
"Tests passed.","Tests geslaagd."
"test(s) remaining","test(s) resterend"
"Hint","Tip"
"Solution","Oplossing"
"here","hier"
"Import redirects (.csv)","Doorverwijzingen importeren (.csv)"
"Import redirects","Doorverwijzingen importeren"
"Download example CSV file for redirect import","Voorbeeld-CSV-bestand voor doorverwijzingsimport downloaden"
"Example of CSV file","Voorbeeld van CSV-bestand"
"Export redirects (.csv)","Doorverwijzingen exporteren (.csv)"
"Export redirects","Doorverwijzingen exporteren"
"This operation can take a long time.","Deze bewerking kan lang duren."
"All category URLs will be changed. This action cannot be undone. Do you want to confirm it?","Alle categorie-URL's worden gewijzigd. Deze actie kan niet ongedaan worden gemaakt. Wilt u dit bevestigen?"
"Error during request.","Fout tijdens aanvraag."
"Error during removal of category path.","Fout bij verwijderen van categoriepad."
"Error during processing URLs.","Fout bij verwerken van URL's."
"All URLs will be changed. This action cannot be undone. Do you want to confirm it?","Alle URL's worden gewijzigd. Deze actie kan niet ongedaan worden gemaakt. Wilt u dit bevestigen?"
"Category image for %1","Categorieafbeelding voor %1"
"Attention","Let op"
"SEO general settings","Algemene SEO-instellingen"
"Canonical settings","Canonieke instellingen"
"Configure canonical URLs to prevent duplicate content issues and consolidate ranking signals.","Configureer canonieke URL's om problemen met dubbele inhoud te voorkomen en rankingsignalen te consolideren."
"Common settings","Algemene instellingen"
"Control general canonical URL behavior across your store.","Controleer het algemene gedrag van canonieke URL's in uw winkel."
"Enable canonical URLs","Canonieke URL's inschakelen"
"Activate canonical URL generation to prevent duplicate content penalties and improve SEO ranking.","Activeer het genereren van canonieke URL's om sancties voor dubbele inhoud te voorkomen en de SEO-ranking te verbeteren."
"Don't use canonical URLs on pages","Geen canonieke URL's op pagina's gebruiken"
"Specify URL patterns where canonical tags should be omitted (one URL per line).","Geef URL-patronen op waar canonieke tags weggelaten moeten worden (één URL per regel)."
"Add pagination to canonical URLs","Paginering toevoegen aan canonieke URL's"
"When enabled, pagination parameters will be included in canonical URLs for paginated content.","Indien ingeschakeld worden pagineringsparameters opgenomen in canonieke URL's voor gepagineerde inhoud."
"Strip store codes from canonicals","Winkelcodes verwijderen uit canonieke URL's"
"Strip store codes from canonical URLs for cleaner URL structure when using multiple store views.","Verwijder winkelcodes uit canonieke URL's voor een schonere URL-structuur bij gebruik van meerdere winkelweergaven."
"Cross-domain canonical URL","Domeinoverschrijdende canonieke URL"
"Configure canonical URLs to point to a preferred domain when content exists across multiple domains.","Configureer canonieke URL's om naar een voorkeursdomein te verwijzen wanneer inhoud op meerdere domeinen aanwezig is."
"HTTPS URLs for cross-domain canonical","HTTPS-URL's voor domeinoverschrijdende canoniek"
"Force HTTPS protocol in cross-domain canonical URLs for security and consistency.","Dwing het HTTPS-protocol af in domeinoverschrijdende canonieke URL's voor veiligheid en consistentie."
"Product page settings","Instellingen productpagina"
"Configure canonical URL behavior specifically for product pages.","Configureer het gedrag van canonieke URL's specifiek voor productpagina's."
"Product canonical URL format","Canoniek URL-formaat voor producten"
"Choose between shortest/longest path format for product canonical URLs.","Kies tussen het kortste/langste padformaat voor canonieke product-URL's."
"Canonical tag for child products","Canonieke tag voor onderliggende producten"
"Define canonical URL behavior for child products within complex product types.","Definieer het gedrag van canonieke URL's voor onderliggende producten binnen complexe producttypen."
"Configurable product","Configureerbaar product"
"Set canonical tag behavior for simple products that are part of configurable products.","Stel het gedrag van de canonieke tag in voor eenvoudige producten die deel uitmaken van configureerbare producten."
"Grouped product","Gegroepeerd product"
"Set canonical tag behavior for simple products that are part of grouped products.","Stel het gedrag van de canonieke tag in voor eenvoudige producten die deel uitmaken van gegroepeerde producten."
"Bundle product","Bundel product"
"Set canonical tag behavior for simple products that are part of bundle products.","Stel het gedrag van de canonieke tag in voor eenvoudige producten die deel uitmaken van bundelproducten."
"Category page settings","Instellingen categoriepagina"
"Configure canonical URL behavior specifically for category pages.","Configureer het gedrag van canonieke URL's specifiek voor categoriepagina's."
"Canonical URL for filtered categories","Canonieke URL voor gefilterde categorieën"
"Define how canonical URLs should handle category pages with active filters.","Definieer hoe canonieke URL's categoriepagina's met actieve filters moeten verwerken."
"Filter inclusion in canonical URL","Filteropname in canonieke URL"
"Configure which specific filters should be included in canonical URLs.","Configureer welke specifieke filters in canonieke URL's moeten worden opgenomen."
"Enable link rel=""next/prev""","Link rel=""next/prev"" inschakelen"
"Implement pagination relationship tags to help search engines understand paginated content structure.","Implementeer pagineringsrelatietags om zoekmachines te helpen de structuur van gepagineerde inhoud te begrijpen."
"Meta Robots settings","Meta Robots-instellingen"
"Control indexing and crawling behavior with Robots meta tags and headers.","Beheer indexerings- en crawlgedrag met Robots-metatags en headers."
"Custom robots rules by URL pattern","Aangepaste robotsregels per URL-patroon"
"Configure custom Robots meta tag directives for specific URL patterns.","Configureer aangepaste Robots-metatagdirectieven voor specifieke URL-patronen."
"Robots meta header for HTTPS","Robots meta-header voor HTTPS"
"Configure X-Robots-Tag header behavior specifically for HTTPS pages.","Configureer het gedrag van de X-Robots-Tag-header specifiek voor HTTPS-pagina's."
"Alternate and hreflang settings","Alternatieve en hreflang-instellingen"
