"%1 service is not properly configured or available","%1 服務未正確設定或無法使用"
"Invalid AI request data","無效的 AI 請求資料"
"Request prompt cannot be empty","請求提示詞不能為空"
"Claude API error","Claude API 錯誤"
"Invalid Claude API response: missing content","無效的 Claude API 回應：缺少內容"
"Empty content received from Claude API","從 Claude API 收到空內容"
"Gemini API error","Gemini API 錯誤"
"Invalid Gemini API response: missing candidates","無效的 Gemini API 回應：缺少候選項"
"Gemini API response was truncated because the max_tokens limit was reached. Consider increasing the max_tokens setting or using a shorter prompt.","Gemini API 回應被截斷，因為已達到 max_tokens 限制。請考慮增加 max_tokens 設定或使用更短的提示詞。"
"Empty content received from Gemini API","從 Gemini API 收到空內容"
"AI services are disabled in configuration","AI 服務在設定中已停用"
"No default AI provider configured","未設定預設 AI 提供商"
"No available AI provider for request validation","沒有可用的 AI 提供商進行請求驗證"
"Request validation failed: %1","請求驗證失敗：%1"
"All AI providers failed. Last error: %1","所有 AI 提供商均失敗。最後錯誤：%1"
"Unsupported AI provider: %1. Supported providers: %2","不支援的 AI 提供商：%1。支援的提供商：%2"
"Service class %1 must extend %2","服務類別 %1 必須擴展 %2"
"Failed to create AI service for provider %1: %2","為提供商 %1 建立 AI 服務失敗：%2"
"Not configured","未設定"
Unknown,未知
"Unknown API error","未知 API 錯誤"
"Temperature must be between 0 and 2","溫度必須在 0 到 2 之間"
"Max tokens must be greater than 0","最大權杖數必須大於 0"
"Frequency penalty must be between -2 and 2","頻率懲罰必須在 -2 到 2 之間"
"Format output as JSON.","將輸出格式化為 JSON。"
"OpenAI API returned an incomplete response because the model's context window tokens number was exceeded.","OpenAI API 傳回了不完整的回應，因為超出了模型上下文視窗的權杖數。"
"OpenAI API returned no content in the response.","OpenAI API 在回應中未傳回內容。"
"Not Installed","未安裝"
"A total of %1 record(s) have been deleted.","共刪除了 %1 筆記錄。"
"The record has been removed.","記錄已被刪除。"
"Disallowed file type.","不允許的檔案類型。"
"Can't remove folder %s","無法刪除資料夾 %s"
"Extension does not contain all necessary files. Please reinstall the extension from original package.","擴充功能不包含所有必要的檔案。請從原始套件重新安裝擴充功能。"
"Extension Information","擴充功能資訊"
Status,狀態
Other,其他
"Advanced Reports","Advanced Reports"
"Layered Navigation","Layered Navigation"
"Cron for Magento is not running. To setup a cron job, follow the link %1","Magento 的 Cron 未執行。要設定 cron 工作，請造訪連結 %1"
"Cron jobs [%1] are not running. Please check the table %2 for frozen jobs and remove them.","Cron 工作 [%1] 未執行。請檢查表格 %2 中凍結的工作並刪除它們。"
Remove,刪除
Error,錯誤
Missed,錯過
Running,執行中
Pending,待處理
Success,成功
"Server gmt time","伺服器 GMT 時間"
"Last job","最後工作"
Executed,已執行
none,無
"Cron setup","Cron 設定"
"Cron Jobs","Cron 工作"
"No AI-enabled modules are currently active.","目前沒有啟用 AI 的模組處於活動狀態。"
"%1 module(s) using AI functionality:","%1 個模組正在使用 AI 功能："
Provider:,提供商：
ai_provider,ai_provider
"You have the latest version","您已擁有最新版本"
"New version %1 is available","新版本 %1 可用"
"View %1 details (opens in new window)","檢視 %1 詳情（在新視窗中開啟）"
Details,詳情
"View %1 user guide (opens in new window)","檢視 %1 使用者指南（在新視窗中開啟）"
"User Guide","使用者指南"
"View %1 changelog (opens in new window)","檢視 %1 更新日誌（在新視窗中開啟）"
Changelog,更新日誌
"Request new feature for %1 (opens in new window)","為 %1 請求新功能（在新視窗中開啟）"
"Request New Feature","請求新功能"
"Installed Extensions","已安裝的擴充功能"
"Check changes","檢查變更"
"Validate All Extensions","驗證所有擴充功能"
"Suggest Improvement","建議改進"
