"API key is not configured.","A chave API não está configurada."
"AI request failed: %1","O pedido de IA falhou: %1"
"SEO AI helper","Assistente de IA SEO"
"General settings","Definições gerais"
"Configure the core settings for the SEO AI helper functionality.","Configure as definições principais para a funcionalidade do assistente de IA SEO."
"Enable SEO AI helper","Ativar assistente de IA SEO"
"Activates the AI-powered SEO optimization features throughout your Magento store.","Ativa as funcionalidades de otimização SEO com tecnologia de IA em toda a sua loja Magento."
"Use Core AI settings","Usar definições de IA principal"
"When enabled: Uses global AI settings from Core module (recommended)<br>When disabled: Uses the module-specific settings below","Quando ativado: usa as definições globais de IA do módulo Core (recomendado)<br>Quando desativado: usa as definições específicas do módulo abaixo"
"AI provider","Fornecedor de IA"
"Select the AI provider for SEO content generation.","Selecione o fornecedor de IA para a geração de conteúdo SEO."
"AI model","Modelo de IA"
"Select the AI model for content generation. Available models depend on the selected provider.","Selecione o modelo de IA para a geração de conteúdo. Os modelos disponíveis dependem do fornecedor selecionado."
"API key","Chave API"
"<a href=""https://platform.openai.com/api-keys"" target=""_blank"">Get OpenAI API key</a>","<a href=""https://platform.openai.com/api-keys"" target=""_blank"">Obter chave API OpenAI</a>"
"<a href=""https://console.anthropic.com/settings/keys"" target=""_blank"">Get Anthropic API key</a>","<a href=""https://console.anthropic.com/settings/keys"" target=""_blank"">Obter chave API Anthropic</a>"
"<a href=""https://aistudio.google.com/apikey"" target=""_blank"">Get Google AI Studio API key</a>","<a href=""https://aistudio.google.com/apikey"" target=""_blank"">Obter chave API do Google AI Studio</a>"
"AI helper","Assistente de IA"
"Configure how the AI assistant automatically improves your store's SEO performance based on audit results.","Configure como o assistente de IA melhora automaticamente o desempenho SEO da sua loja com base nos resultados da auditoria."
"Automatically fix meta-related issues","Corrigir automaticamente problemas relacionados com meta"
"When enabled, the system will automatically generate and apply SEO rewrites to fix issues with meta titles, descriptions, and other meta elements identified during audits. This helps maintain SEO best practices across your site without manual intervention.","Quando ativado, o sistema irá gerar e aplicar automaticamente reescritas SEO para corrigir problemas com meta títulos, descrições e outros elementos meta identificados durante as auditorias. Isto ajuda a manter as melhores práticas de SEO no seu site sem intervenção manual."
"Enable cron task","Ativar tarefa cron"
"Schedule automatic SEO fixes to run every 30 minutes via Magento's cron system. This ensures your site's meta information remains optimized even as new content is added. Disable if you prefer to trigger fixes manually.","Agende correções SEO automáticas para serem executadas a cada 30 minutos através do sistema cron do Magento. Isto garante que as informações meta do seu site permanecem otimizadas mesmo à medida que novo conteúdo é adicionado. Desative se preferir acionar correções manualmente."
"Re-generate SEO rewrites","Regenerar reescritas SEO"
"When enabled, the system will continuously refine previously generated meta content in subsequent runs until it meets recommended length guidelines and SEO best practices. This iterative improvement helps achieve optimal meta content over time.","Quando ativado, o sistema irá continuamente refinar o conteúdo meta gerado anteriormente em execuções subsequentes até cumprir as diretrizes de comprimento recomendadas e as melhores práticas de SEO. Esta melhoria iterativa ajuda a alcançar conteúdo meta ótimo ao longo do tempo."
"Add store information to context","Adicionar informações da loja ao contexto"
"Enhances AI-generated content by including your store's name and description when creating meta content. This provides relevant context to the AI, resulting in more brand-aligned and relevant meta descriptions and titles.","Melhora o conteúdo gerado por IA incluindo o nome e a descrição da sua loja ao criar conteúdo meta. Isto fornece contexto relevante à IA, resultando em meta descrições e títulos mais alinhados com a marca e mais relevantes."
"Store description","Descrição da loja"
"Describe in a few words what types of products your store is selling. This context helps the AI generate more relevant and targeted meta content. This data is not required.","Descreva em poucas palavras que tipos de produtos a sua loja vende. Este contexto ajuda a IA a gerar conteúdo meta mais relevante e direcionado. Estes dados não são obrigatórios."
"AI helper store context","Contexto da loja do Assistente de IA"
