"Created","Đã tạo"
"Picking up","Đang lấy hàng"
"Picked up","Đã lấy hàng"
"In transit","Đang vận chuyển"
"Out for delivery","Đang giao hàng"
"Delivered","Đã giao"
"Delivery failed","Giao không thành công"
"Lost","Thất lạc"
"Damaged","Hư hỏng"
"Returning to sender","Đang hoàn về người gửi"
"Returned to sender","Đã hoàn về người gửi"
"Cancelled","Đã hủy"
"Unknown","Không xác định"
"%1 (GHN status: %2)","%1 (GHN: %2)"
"%1 (GHN: %2)","%1 (GHN: %2)"
"GHN Carrier Actions","Thao tác GHN"
"Cancellation reason","Lý do hủy"
"Pickup is overdue","GHN chưa đến lấy hàng (quá hẹn)"
"Out of stock","Hết hàng"
"Customer cancelled the order","Khách hủy đơn"
"Other reason","Lý do khác"
"Optional detail (e.g. for Other reason)","Mô tả thêm (ví dụ cho Lý do khác)"
"Cancel GHN Shipment","Hủy đơn GHN"
"Request GHN Return","Yêu cầu GHN hoàn hàng"
"Cancel this shipment at GHN? This asks the provider to cancel the delivery order.","Hủy đơn này tại GHN? Thao tác này yêu cầu GHN hủy vận đơn."
"Request GHN Return? This asks the carrier to return the goods to you (not a customer RMA).","Yêu cầu GHN hoàn hàng? Đây là thao tác với hãng vận chuyển (không phải RMA khách hàng)."
"Invalid request method.","Phương thức yêu cầu không hợp lệ."
"Invalid shipment id.","ID shipment không hợp lệ."
"Shipment %1 not found.","Không tìm thấy shipment %1."
"GHN shipment cancellation accepted. Order %1.","GHN đã nhận yêu cầu hủy vận đơn. Mã %1."
"GHN rejected the %1: %2","GHN từ chối %1: %2"
"cancellation","yêu cầu hủy"
"return request","yêu cầu hoàn hàng"
"GHN is temporarily unavailable. No automatic retry was performed.","GHN tạm thời không khả dụng. Không tự động thử lại."
"The request may have been processed by GHN. Please refresh/reconcile the tracking status before retrying.","Yêu cầu có thể đã được GHN xử lý. Vui lòng kiểm tra lại trạng thái vận đơn trước khi thử lại."
"GHN return request accepted. Order %1.","GHN đã nhận yêu cầu hoàn hàng. Mã %1."
