"Conditions","Condições"
"Wrong request.","Pedido incorreto."
"Rich snippet extender has been deleted.","O extensor de rich snippet foi eliminado."
"Edit rich snippet extender","Editar extensor de rich snippet"
"Rich snippet extender with ID ""%1"" does not exist.","O extensor de rich snippet com ID ""%1"" não existe."
"Rich snippet extenders","Extensores de rich snippet"
"New rich snippet extender","Novo extensor de rich snippet"
"No data to save.","Não há dados para guardar."
"Rich snippet extender no longer exists.","O extensor de rich snippet já não existe."
"Incorrect JSON format","Formato JSON incorreto"
"Rich snippet extender has been saved.","O extensor de rich snippet foi guardado."
"Disabled","Desativado"
"Use description","Usar descrição"
"Use meta description","Usar meta descrição"
"No","Não"
"Yes, for all categories","Sim, para todas as categorias"
"Yes, only for non-filtered categories","Sim, apenas para categorias não filtradas"
"Full (OfferCatalog)","Completo (OfferCatalog)"
"Simple (ItemList)","Simples (ItemList)"
"Aggregate Product","Produto agregado"
"Current page","Página atual"
"Entire category","Categoria completa"
"Yes, for all landing pages","Sim, para todas as páginas de destino"
"Yes, only for non-filtered landing pages","Sim, apenas para páginas de destino não filtradas"
"Entire landing page","Página de destino completa"
"Homepage only","Apenas página inicial"
"All CMS pages","Todas as páginas CMS"
"Specific CMS pages","Páginas CMS específicas"
"Add from store information","Adicionar a partir de informações da loja"
"Add manually","Adicionar manualmente"
"Default (from configuration)","Predefinição (da configuração)"
"WebPage","WebPage"
"Article","Article"
"BlogPosting","BlogPosting"
"AboutPage","AboutPage"
"ContactPage","ContactPage"
"Use short description","Usar descrição breve"
"Configure manually","Configurar manualmente"
"New for all products","Novo para todos os produtos"
"Kilograms (kg)","Quilogramas (kg)"
"Pounds (lb)","Libras (lb)"
"Grams (g)","Gramas (g)"
"Search in the catalog of products","Pesquisar no catálogo de produtos"
"Search in the blog articles","Pesquisar nos artigos do blogue"
"Summary card","Cartão de resumo"
"Summary card with large image","Cartão de resumo com imagem grande"
"The rich snippet extender with ID ""%1"" doesn't exist.","O extensor de rich snippet com ID ""%1"" não existe."
"Edit","Editar"
"Delete","Eliminar"
"Delete record with ID %1","Eliminar registo com ID %1"
"Are you sure you want to delete this rich snippet extender?","Tem a certeza de que pretende eliminar este extensor de rich snippet?"
"Template variables","Variáveis de modelo"
"learn more","saber mais"
"Double click on a variable to insert it into the field","Clique duas vezes numa variável para a inserir no campo"
"Learn more about template variables","Saber mais sobre variáveis de modelo"
"Rich snippets and OpenGraph","Rich snippets e OpenGraph"
"Product page","Página de produto"
"Configure rich snippets for product pages to improve search engine visibility. These settings enhance how your products appear in search results with additional information like pricing, availability, and reviews.","Configure rich snippets para páginas de produto para melhorar a visibilidade nos motores de pesquisa. Estas definições melhoram a forma como os seus produtos aparecem nos resultados de pesquisa com informações adicionais como preços, disponibilidade e avaliações."
"Delete wrong snippets automatically","Eliminar snippets incorretos automaticamente"
"Automatically removes incorrect structured data from product pages. Helps maintain clean markup and prevent schema validation issues.","Remove automaticamente dados estruturados incorretos das páginas de produto. Ajuda a manter uma marcação limpa e a evitar problemas de validação de schema."
"Enable rich snippet","Ativar rich snippet"
"Activates structured data markup for product pages. This is the master switch for all product-related rich snippets.","Ativa a marcação de dados estruturados para páginas de produto. Este é o interruptor principal para todos os rich snippets relacionados com produtos."
"Item name length","Comprimento do nome do item"
"Maximum character length for item name in structured data.","Comprimento máximo de caracteres para o nome do item em dados estruturados."
"The maximum value recommended by Google is 150. Values below 25 will default to 150. If the value is empty or 0, no limit is applied.","O valor máximo recomendado pelo Google é 150. Valores abaixo de 25 serão predefinidos para 150. Se o valor estiver vazio ou for 0, não é aplicado nenhum limite."
"Item price","Preço do item"
"Includes product pricing information in OpenGraph and Rich Snippets. Warning: disabling this will remove price from structured data and may cause Google Rich Results validation errors, as price is required for valid Product rich snippets.","Inclui informações de preço do produto no OpenGraph e Rich Snippets. Aviso: desativar isto removerá o preço dos dados estruturados e pode causar erros de validação do Google Rich Results, pois o preço é necessário para rich snippets de produto válidos."
"Single price mode","Modo de preço único"
