"Enable Pancake order export","Bật xuất đơn sang Pancake"
"Enable log","Bật ghi log"
"When Yes, FulfillmentCore writes Pancake logs to var/log/fulfillment/pancake/fulfillment.log. Other POS modules have their own flag and folder. Default: No. Does not log api_key or phone numbers.","Khi Yes, FulfillmentCore ghi log Pancake vào var/log/fulfillment/pancake/fulfillment.log. Mỗi POS có cờ và thư mục riêng. Mặc định: No. Không ghi api_key hay số điện thoại."
"When Yes, Magento-origin orders are pushed to Pancake POS after place, if Fulfillment Core outbound export is also Yes. Leave No until Shop ID, API Key, and at least one active warehouse map exist (Secomm → Pancake POS → Warehouse Mapping). Default: No. Does not import orders created only inside Pancake.","Khi Yes, đơn tạo từ Magento được đẩy sang Pancake POS sau khi đặt hàng, nếu Fulfillment Core cũng đang bật xuất đơn. Để No cho đến khi đã có Shop ID, API Key và ít nhất một map kho đang Active (Secomm → Pancake POS → Warehouse Mapping). Mặc định: No. Không nhập đơn chỉ tạo trong Pancake."
"Base URL","Base URL"
"Pancake POS Open API root. Default and expected value: https://pos.pages.fm/api/v1. Do not use the Pancake Chat/Inbox API. Change only if ops routes calls through a proxy. Used as the prefix for POST /shops/{Shop ID}/orders and GET warehouses.","Gốc Pancake POS Open API. Giá trị mặc định và đúng: https://pos.pages.fm/api/v1. Không dùng API Pancake Chat/Inbox. Chỉ đổi nếu ops đi qua proxy. Là tiền tố của POST /shops/{Shop ID}/orders và GET warehouses."
"Shop ID","Shop ID"
"Numeric Pancake shop id. Get it from the Pancake POS admin URL after you open the shop: the number immediately after /shop/ (example: https://pos.pages.fm/shop/6036602/...). Or call GET {Base URL}/shops?api_key=... and use the shop ""id"". This value is the {SHOP_ID} path segment. Not the Facebook Page ID.","Mã số shop Pancake. Lấy từ URL admin Pancake POS sau khi mở shop: số ngay sau /shop/ (ví dụ https://pos.pages.fm/shop/6036602/...). Hoặc gọi GET {Base URL}/shops?api_key=... và dùng trường ""id"" của shop. Giá trị này là đoạn {SHOP_ID} trên path. Không phải Facebook Page ID."
"API Key","API Key"
"Create or copy it in Pancake POS: Settings (Cấu hình) → Application configuration (Cấu hình ứng dụng) / Advanced → Third-party connection → Webhook/API → API Key → Add new. The key must be enabled (Bật) on Pancake. Magento stores it encrypted and sends it only as the api_key query parameter. Never commit this value or paste it into tickets.","Tạo hoặc copy trên Pancake POS: Cấu hình → Cấu hình ứng dụng / Nâng cao → Kết nối bên thứ 3 → Webhook/API → API Key → Thêm mới. Key phải đang Bật trên Pancake. Magento lưu mã hóa và chỉ gửi dưới dạng query api_key. Không commit giá trị này và không dán vào ticket."
"Webhook secret","Webhook secret"
"Random string you invent in Magento (Pancake does not issue this secret). Configure Pancake POS Webhook/API with URL https://<store>/pancake/webhook/index?secret=<this value> and webhook type orders. Empty disables the check — do not leave empty on a public store. Poll below still runs as fallback.","Chuỗi ngẫu nhiên do bạn tự đặt trong Magento (Pancake không cấp secret này). Cấu hình Pancake POS Webhook/API với URL https://<store>/pancake/webhook/index?secret=<giá trị này> và loại webhook orders. Để trống thì tắt kiểm tra — không để trống trên store public. Poll bên dưới vẫn chạy song song làm fallback."
"Poll Magento-origin POS orders","Poll đơn POS có nguồn Magento"
"When Yes, cron secomm_pancake_poll_orders (every 15 minutes) calls GET /shops/{Shop ID}/orders/{external id} only for rows already exported from Magento (push_status success). It does not pull orders created only in Pancake. Requires Enable + Shop ID + API Key. Up to 40 mapped orders per run. Default: Yes. Independent of the webhook secret.","Khi Yes, cron secomm_pancake_poll_orders (mỗi 15 phút) gọi GET /shops/{Shop ID}/orders/{external id} chỉ với các dòng đã xuất từ Magento (push_status success). Không kéo đơn chỉ tạo trong Pancake. Cần Enable + Shop ID + API Key. Tối đa 40 đơn đã map mỗi lần chạy. Mặc định: Yes. Không phụ thuộc webhook secret."
"Magento MSI Source","Magento MSI Source"
"Loaded from Magento Inventory sources (Stores → Inventory → Sources), not from Pancake. This is the source Magento uses when the order is exported. One source can map to only one Pancake warehouse.","Lấy từ nguồn tồn kho Magento (Stores → Inventory → Sources), không lấy từ Pancake. Đây là source Magento dùng khi xuất đơn. Một source chỉ map được một kho Pancake."
"Pancake Warehouse","Pancake Warehouse"
"Loaded live from Pancake POS GET /shops/{Shop ID}/warehouses using the API Key in Stores → Configuration → Secomm Extensions → Pancake POS. If the list is empty, set Shop ID and API Key first and confirm the key is enabled on Pancake. One warehouse can map to only one Magento source. Unmapped sources block the order push (error warehouse_unmapped).","Tải trực tiếp từ Pancake POS GET /shops/{Shop ID}/warehouses bằng API Key tại Stores → Configuration → Secomm Extensions → Pancake POS. Nếu danh sách trống, nhập Shop ID và API Key trước và xác nhận key đang Bật trên Pancake. Một kho Pancake chỉ map một source Magento. Source chưa map sẽ chặn đẩy đơn (lỗi warehouse_unmapped)."
"Active","Active"
"Only active rows are used at export. Inactive maps are ignored; the order then fails with warehouse_unmapped until another active map exists for that MSI source.","Chỉ dòng Active được dùng khi xuất đơn. Map Inactive bị bỏ qua; đơn sẽ fail warehouse_unmapped cho đến khi source MSI đó có map Active khác."
"No warehouses (check Pancake API config)","Không có kho (kiểm tra cấu hình API Pancake)"
"Warehouse Mapping","Warehouse Mapping"
"Add Mapping","Add Mapping"
"MSI Source","MSI Source"
"Pancake Warehouse ID","Pancake Warehouse ID"
"Warehouse Label","Warehouse Label"
