"Payment successful","Thanh toán thành công"
"Payment failed","Thanh toán thất bại"
"Transaction successful","Giao dịch thành công"
"The transaction already exists","Giao dịch đã tồn tại"
"Invalid merchant (check the vnp_TmnCode)","Merchant không hợp lệ (kiểm tra lại vnp_TmnCode)"
"Invalid request data format","Dữ liệu gửi sang không đúng định dạng"
"Transaction initiation failed because the website is temporarily locked","Khởi tạo giao dịch không thành công do Website đang bị tạm khóa"
"Transaction failed: incorrect password entered too many times. Please try again","Giao dịch không thành công do: Quý khách nhập sai mật khẩu quá số lần quy định. Xin quý khách vui lòng thực hiện lại giao dịch"
"Transaction failed: incorrect OTP verification password. Please try again","Giao dịch không thành công do Quý khách nhập sai mật khẩu xác thực giao dịch (OTP). Xin quý khách vui lòng thực hiện lại giao dịch"
"Transaction is suspected to be fraudulent","Giao dịch bị nghi ngờ là giao dịch gian lận"
"Transaction failed: card/account has not registered for Internet banking at the bank","Giao dịch không thành công do: Thẻ/Tài khoản của khách hàng chưa đăng ký dịch vụ InternetBanking tại ngân hàng"
"Transaction failed: incorrect card/account verification more than 3 times","Giao dịch không thành công do: Khách hàng xác thực thông tin thẻ/tài khoản không đúng quá 3 lần"
"Transaction failed: payment waiting period has expired. Please try again","Giao dịch không thành công do: Đã hết hạn chờ thanh toán. Xin quý khách vui lòng thực hiện lại giao dịch"
"Transaction failed: card/account is locked","Giao dịch không thành công do: Thẻ/Tài khoản của khách hàng bị khóa"
"Transaction failed: customer canceled the transaction","Giao dịch không thành công do: Khách hàng hủy giao dịch"
"Transaction failed: insufficient account balance","Giao dịch không thành công do: Tài khoản của quý khách không đủ số dư để thực hiện giao dịch"
"Transaction failed: daily transaction limit has been exceeded","Giao dịch không thành công do: Tài khoản của Quý khách đã vượt quá hạn mức giao dịch trong ngày"
"The payment bank is under maintenance","Ngân hàng thanh toán đang bảo trì"
"Transaction failed: incorrect payment password entered too many times","Giao dịch không thành công do: Khách hàng nhập sai mật khẩu thanh toán quá số lần quy định"
"An error occurred during the transaction","Có lỗi xảy ra trong quá trình thực hiện giao dịch"
"Invalid signature","Chữ ký không hợp lệ"
"Your payment was received but the order could not be created. Please contact us for assistance.","Thanh toán đã được ghi nhận nhưng không thể tạo đơn hàng. Vui lòng liên hệ với chúng tôi để được hỗ trợ."
