"A canonical tag is set for this page.","Для цієї сторінки встановлено тег canonical."
"No canonical tag is set for this page.","Для цієї сторінки не встановлено тег canonical."
"There is no H1 tag on the page.","На сторінці немає тегу H1."
"One H1 tag — optimal.","Один тег H1 — оптимально."
"Multiple H1 tags found. Try to use only one H1 tag.","Знайдено кілька тегів H1. Спробуйте використовувати лише один тег H1."
"<%1>: %2","<%1>: %2"
"%1 image(s) without ALT tag","%1 зображень без тегу ALT"
"%1 images with correct alt attribute.","%1 зображень з правильним атрибутом alt."
"%1 characters — not good. Try to enlarge it to 160 characters.","%1 символів — не дуже добре. Спробуйте збільшити до 160 символів."
"%1 characters — not good. Try to minimize it to 300 characters.","%1 символів — не дуже добре. Спробуйте зменшити до 300 символів."
"%1 characters — optimal.","%1 символів — оптимально."
"%1 characters, %2 words.","%1 символів, %2 слів."
"Is not set","Не встановлено"
"No cross-links detected","Перехресних посилань не виявлено"
"Cross-links successfully applied","Перехресні посилання успішно застосовано"
"%1 characters — not good. Try to enlarge it to 10 characters.","%1 символів — не дуже добре. Спробуйте збільшити до 10 символів."
"%1 characters — not good. Try to minimize it to 70 characters.","%1 символів — не дуже добре. Спробуйте зменшити до 70 символів."
"Page analysis","Аналіз сторінки"
"Close SEO Toolbar","Закрити SEO-панель"
"SEO toolbar settings","Налаштування SEO-панелі"
"Configure the SEO toolbar's visibility and access restrictions. The toolbar provides real-time SEO analysis information directly in your storefront.","Налаштуйте видимість та обмеження доступу для SEO-панелі. Панель надає інформацію SEO-аналізу в реальному часі безпосередньо у вашому магазині."
"Enable toolbar","Увімкнути панель"
"When enabled, the SEO toolbar will be displayed according to the IP restrictions below. Disable to completely turn off the toolbar functionality.","Якщо увімкнено, SEO-панель відображатиметься відповідно до обмежень IP нижче. Вимкніть, щоб повністю вимкнути функціональність панелі."
"Show toolbar only for IPs","Показувати панель лише для IP"
"For security, enter comma-separated IP addresses that are allowed to see the toolbar. Leave empty to show the toolbar for all IPs. Example: 192.168.1.1,10.0.0.1","З міркувань безпеки введіть IP-адреси через кому, яким дозволено бачити панель. Залиште порожнім, щоб показувати панель для всіх IP. Приклад: 192.168.1.1,10.0.0.1"
"Disable toolbar for links","Вимкнути панель для посилань"
"Specify links (one per line) where the toolbar should be disabled (e.g., /customer/login or /checkout).","Вкажіть посилання (по одному на рядок), де панель має бути вимкнена (наприклад, /customer/login або /checkout)."
