"Home","الرئيسية"
"Go to Home Page","الذهاب إلى الصفحة الرئيسية"
"Categories","التصنيفات"
"Pages","الصفحات"
"Products","المنتجات"
"Stores","المتاجر"
"Top of page","أعلى الصفحة"
"Bottom of page","أسفل الصفحة"
"Both top and bottom","أعلى وأسفل معًا"
"Disable","تعطيل"
"Permanent only","الدائمة فقط"
"All","الكل"
"Priority must be between 0 and 1","يجب أن تكون الأولوية بين 0 و1"
"A cron job is required for automatic sitemap generation. Automatic generation can be configured at System > Configuration > Catalog > Google Sitemap > Generation Settings. Cron for Magento is not running. To set up a cron job, follow the link.","مهمة Cron مطلوبة لإنشاء خريطة الموقع تلقائيًا. يمكن تكوين الإنشاء التلقائي من النظام > التكوين > الكتالوج > خريطة موقع Google > إعدادات الإنشاء. Cron لـ Magento لا يعمل. لإعداد مهمة Cron، اتبع الرابط."
"Blog","المدونة"
"Blog Home","الصفحة الرئيسية للمدونة"
"Brand","العلامة التجارية"
"Knowledge Base","قاعدة المعرفة"
"Landing Pages","الصفحات المقصودة"
"Search sitemap","البحث في خريطة الموقع"
"Search","بحث"
"Search through sitemap items","البحث في عناصر خريطة الموقع"
"Visit %1 store","زيارة متجر %1"
"View %1 page","عرض صفحة %1"
"Additional Links","روابط إضافية"
"Visit %1","زيارة %1"
"View %1","عرض %1"
"View category: %1","عرض التصنيف: %1"
"View product: %1","عرض المنتج: %1"
"Nothing to show, please change a search query","لا شيء للعرض، يرجى تغيير استعلام البحث"
"Extended sitemap","خريطة الموقع الموسعة"
"General sitemap settings","إعدادات خريطة الموقع العامة"
"Basic configuration options that affect both frontend and XML sitemaps.","خيارات التكوين الأساسية التي تؤثر على كل من خرائط الموقع الأمامية و XML."
"Ignore CMS pages","تجاهل صفحات CMS"
"Select pages that should not appear in any sitemaps. Useful for login, registration, and other utility pages.","حدد الصفحات التي لا ينبغي أن تظهر في أي خريطة موقع. مفيد لصفحات تسجيل الدخول والتسجيل والصفحات الأخرى."
"Include SEO rewrites in sitemap","تضمين إعادة كتابة SEO في خريطة الموقع"
"When enabled, all SEO rewrite URLs with INDEX FOLLOW meta robots will be included in the sitemap. The included link pattern must not be an action name or contain wildcard characters. For a frontend sitemap, the <b>Title</b> field is required.","عند التمكين، سيتم تضمين جميع عناوين URL لإعادة كتابة SEO التي تحتوي على robots ميتا INDEX FOLLOW في خريطة الموقع. يجب ألا يكون نمط الرابط المدرج اسم إجراء أو يحتوي على أحرف بدل. لخريطة الموقع الأمامية، حقل <b>العنوان</b> مطلوب."
"Exclude redirects from sitemap","استبعاد إعادة التوجيه من خريطة الموقع"
"Controls how redirect URLs are handled in sitemap generation. Excluding redirects prevents search engines from indexing redirect URLs, while including them allows crawlers to discover the redirect chain. Permanent redirects (301) typically should be excluded as they point to canonical URLs already in the sitemap.","يتحكم في كيفية التعامل مع عناوين URL لإعادة التوجيه عند إنشاء خريطة الموقع. استبعاد عمليات إعادة التوجيه يمنع محركات البحث من فهرسة عناوين URL لإعادة التوجيه، في حين أن تضمينها يتيح للزواحف اكتشاف سلسلة إعادة التوجيه. يجب عادةً استبعاد عمليات إعادة التوجيه الدائمة (301) لأنها تشير إلى عناوين URL canonical الموجودة بالفعل في خريطة الموقع."
"Additional links","روابط إضافية"
"Add custom URLs to include in your sitemaps. Format: one URL per line. For frontend sitemaps, specify both URL and page title separated by comma.","أضف عناوين URL مخصصة لتضمينها في خرائط الموقع. الصيغة: عنوان URL واحد في كل سطر. لخرائط الموقع الأمامية، حدد عنوان URL وعنوان الصفحة مفصولين بفاصلة."
"Example:<br/>/promotions/, Our Promotions<br/>/customer/account/, Customer Account","مثال:<br/>/promotions/, عروضنا<br/>/customer/account/, حساب العميل"
"Exclude by pattern","استبعاد حسب النمط"
"Specify URL patterns to exclude from all sitemaps. Each pattern should be on a new line. Wildcards (*) are supported.","حدد أنماط URL لاستبعادها من جميع خرائط الموقع. يجب أن يكون كل نمط في سطر جديد. أحرف البدل (*) مدعومة."
"Example:<br/>/catalog/category/*<br/>/checkout/*","مثال:<br/>/catalog/category/*<br/>/checkout/*"
"Frontend sitemap settings","إعدادات خريطة الموقع الأمامية"
"Configure how your HTML sitemap appears to visitors and search engines.","تكوين كيفية ظهور خريطة الموقع HTML للزوار ومحركات البحث."
"Display settings","إعدادات العرض"
"Configure the visual presentation and user interface elements of your HTML sitemap. These settings control how the sitemap is displayed to visitors, including layout structure, navigation aids, and interactive features that enhance user experience.","تكوين العرض المرئي وعناصر واجهة المستخدم لخريطة الموقع HTML. تتحكم هذه الإعدادات في كيفية عرض خريطة الموقع للزوار، بما في ذلك هيكل التخطيط وأدوات التنقل والميزات التفاعلية."
"Columns count","عدد الأعمدة"
"Define how many columns will display in the frontend sitemap. More columns can improve readability on large sites.","حدد عدد الأعمدة التي ستظهر في خريطة الموقع الأمامية. المزيد من الأعمدة يمكن أن يحسن قابلية القراءة في المواقع الكبيرة."
"Valid values from 1 to 10","القيم الصحيحة من 1 إلى 10"
"Alphabetical product grouping","تجميع المنتجات أبجديًا"
"When enabled, products will be grouped alphabetically with capital letter headings, improving navigation for visitors.","عند التمكين، سيتم تجميع المنتجات أبجديًا بعناوين بأحرف كبيرة، مما يحسن التنقل للزوار."
"Show sitemap search box","إظهار مربع بحث خريطة الموقع"
"Display a search input field on the frontend sitemap page. Visitors can use this to filter and find specific content within the sitemap without scrolling through all entries.","عرض حقل إدخال بحث في صفحة خريطة الموقع الأمامية. يمكن للزوار استخدامه لتصفية محتوى محدد والعثور عليه دون التمرير خلال جميع الإدخالات."
"Pagination controls position","موضع عناصر التحكم في ترقيم الصفحات"
