"Add new link","Adicionar novo link"
"Import/Export links","Importar/Exportar links"
"[deleted]","[excluído]"
"All store views","Todas as visões da loja"
"There is no sample file for this entity.","Não há arquivo de exemplo para esta entidade."
"Unable to create export file.","Não é possível criar o arquivo de exportação."
"Unable to send export file.","Não é possível enviar o arquivo de exportação."
"Cross-links","Links cruzados"
"%1 records were inserted or updated","%1 registros foram inseridos ou atualizados"
"New link","Novo link"
"Item was successfully deleted","O item foi excluído com sucesso"
"Edit link '%1'","Editar link '%1'"
"The link does not exist.","O link não existe."
"Please select item(s)","Por favor, selecione o(s) item(ns)"
"Total of %1 record(s) were successfully deleted","Um total de %1 registro(s) foi excluído com sucesso"
"Total of %1 record(s) were successfully disabled","Um total de %1 registro(s) foi desativado com sucesso"
"Total of %1 record(s) were successfully enabled","Um total de %1 registro(s) foi ativado com sucesso"
"Link was successfully saved","O link foi salvo com sucesso"
"Unable to find link to save","Não é possível encontrar o link para salvar"
"First","Primeiro"
"Last","Último"
"Random","Aleatório"
"CMS page","Página CMS"
"CMS block","Bloco CMS"
"Category description","Descrição da categoria"
"Product short description","Descrição curta do produto"
"Product full description","Descrição completa do produto"
"Product attributes","Atributos do produto"
"SEO description","Descrição SEO"
"Blog MX post content","Conteúdo de publicação Blog MX"
"Mageplaza Blog post content","Conteúdo de publicação Mageplaza Blog"
"_self (in current window)","_self (na janela atual)"
"_blank (in new window)","_blank (em nova janela)"
"_self (in own frameset)","_self (no próprio frameset)"
"_top (in full current browser window)","_top (na janela completa do navegador)"
"Back","Voltar"
"Delete","Excluir"
"Are you sure you want to do this?","Tem certeza de que deseja fazer isso?"
"Reset","Redefinir"
"Resets input fields values","Redefine os valores dos campos de entrada"
"Save and continue edit","Salvar e continuar editando"
"Save","Salvar"
"Edit","Editar"
"SEO Autolink Import","Importação de SEO Autolink"
"Import links (.csv)","Importar links (.csv)"
"Import links","Importar links"
"This is a required field.","Este campo é obrigatório."
"Download example CSV file for autolink import","Baixar arquivo CSV de exemplo para importação de autolinks"
"Example of CSV file","Exemplo de arquivo CSV"
"SEO Autolink Export","Exportação de SEO Autolink"
"Export links (.csv)","Exportar links (.csv)"
"Export links","Exportar links"
"Cross-links settings","Configurações de links cruzados"
"Configure how cross-linking behaves across your site content to enhance internal linking structure.","Configure como os links cruzados se comportam no conteúdo do seu site para aprimorar a estrutura de links internos."
"Allowed areas for cross-links","Áreas permitidas para links cruzados"
"Select specific content areas where cross-links should be automatically inserted. Limiting to relevant areas improves page load performance.","Selecione áreas de conteúdo específicas onde os links cruzados devem ser inseridos automaticamente. Limitar a áreas relevantes melhora o desempenho de carregamento da página."
"Restrict link placement in tags","Restringir a inserção de links em tags"
"Specify HTML tags where links should not be inserted (e.g., h1, h2, a, strong). Enter one tag per line without brackets.","Especifique as tags HTML onde os links não devem ser inseridos (por exemplo, h1, h2, a, strong). Insira uma tag por linha sem colchetes."
"Prevent adding cross-links on pages","Evitar adição de links cruzados em páginas"
"Enter URL patterns (one per line) where cross-links should be disabled. Use * as wildcard (e.g., catalog/product/* or */checkout).","Insira padrões de URL (um por linha) onde os links cruzados devem ser desativados. Use * como curinga (por exemplo, catalog/product/* ou */checkout)."
"Template paths for link insertion","Caminhos de templates para inserção de links"
"Specify template file paths (one per line) where links should be inserted. Note: Processing will fail for templates exceeding 1000 HTML tags due to memory constraints.","Especifique os caminhos de arquivos de template (um por linha) onde os links devem ser inseridos. Nota: O processamento falhará para templates que excedam 1000 tags HTML devido a restrições de memória."
"Max number of links per page","Número máximo de links por página"
"Set maximum number of auto-generated cross-links per page. Lower values may improve page load time and prevent over-optimization.","Defina o número máximo de links cruzados gerados automaticamente por página. Valores menores podem melhorar o tempo de carregamento da página e prevenir a otimização excessiva."
"Avoid duplicate URLs in cross-links","Evitar URLs duplicadas em links cruzados"
"When enabled, if multiple keywords point to the same URL, only the first occurrence will be linked. This prevents duplicate links and improves page load performance.","Quando ativado, se várias palavras-chave apontarem para a mesma URL, apenas a primeira ocorrência será vinculada. Isso evita links duplicados e melhora o desempenho de carregamento da página."
"General information","Informações gerais"
"Keyword","Palavra-chave"
"URL","URL"
"URL target","Destino da URL"
"URL title","Título da URL"
"Nofollow","Nofollow"
"Number of substitutions","Número de substituições"
"Sort order","Ordem de classificação"
"Occurrence","Ocorrência"
"Is active","Está ativo"
"Active from","Ativo a partir de"
"Active to","Ativo até"
"Visible in store view","Visível na visão da loja"
"Change status","Alterar status"
"Active","Ativo"
"Inactive","Inativo"
"Delete items","Excluir itens"
"Are you sure you want to delete the selected items?","Tem certeza de que deseja excluir os itens selecionados?"
"ID","ID"
"Store view","Visão da loja"
"Status","Status"
"Is nofollow","É nofollow"
"Max replacements","Substituições máximas"
"Link type","Tipo de link"
"Entity ID","ID da entidade"
"Enter the product ID or category ID. The current URL for this entity will be resolved automatically when the link is inserted.","Insira o ID do produto ou o ID da categoria. O URL atual desta entidade será resolvido automaticamente quando o link for inserido."
"Custom URL","URL personalizado"
"Product by ID","Produto por ID"
"Category by ID","Categoria por ID"
"URL is required for custom URL links.","O URL é obrigatório para links de URL personalizados."
"Entity ID is required for product/category links.","O ID da entidade é obrigatório para links de produto/categoria."
