"Add new link","Neuen Link hinzufügen"
"Import/Export links","Links importieren/exportieren"
"[deleted]","[gelöscht]"
"All store views","Alle Shop-Ansichten"
"There is no sample file for this entity.","Für diese Entität ist keine Beispieldatei vorhanden."
"Unable to create export file.","Exportdatei konnte nicht erstellt werden."
"Unable to send export file.","Exportdatei konnte nicht gesendet werden."
"Cross-links","Cross-Links"
"%1 records were inserted or updated","%1 Datensätze wurden eingefügt oder aktualisiert"
"New link","Neuer Link"
"Item was successfully deleted","Element wurde erfolgreich gelöscht"
"Edit link '%1'","Link '%1' bearbeiten"
"The link does not exist.","Der Link existiert nicht."
"Please select item(s)","Bitte Element(e) auswählen"
"Total of %1 record(s) were successfully deleted","Insgesamt %1 Datensatz/Datensätze wurden erfolgreich gelöscht"
"Total of %1 record(s) were successfully disabled","Insgesamt %1 Datensatz/Datensätze wurden erfolgreich deaktiviert"
"Total of %1 record(s) were successfully enabled","Insgesamt %1 Datensatz/Datensätze wurden erfolgreich aktiviert"
"Link was successfully saved","Link wurde erfolgreich gespeichert"
"Unable to find link to save","Link zum Speichern konnte nicht gefunden werden"
"First","Erster"
"Last","Letzter"
"Random","Zufällig"
"CMS page","CMS-Seite"
"CMS block","CMS-Block"
"Category description","Kategoriebeschreibung"
"Product short description","Produkt-Kurzbeschreibung"
"Product full description","Produkt-Vollbeschreibung"
"Product attributes","Produktattribute"
"SEO description","SEO-Beschreibung"
"Blog MX post content","Blog MX Beitragsinhalt"
"Mageplaza Blog post content","Mageplaza Blog Beitragsinhalt"
"_self (in current window)","_self (im aktuellen Fenster)"
"_blank (in new window)","_blank (in neuem Fenster)"
"_self (in own frameset)","_self (im eigenen Frameset)"
"_top (in full current browser window)","_top (im gesamten aktuellen Browserfenster)"
"Back","Zurück"
"Delete","Löschen"
"Are you sure you want to do this?","Sind Sie sicher, dass Sie dies tun möchten?"
"Reset","Zurücksetzen"
"Resets input fields values","Setzt die Werte der Eingabefelder zurück"
"Save and continue edit","Speichern und weiter bearbeiten"
"Save","Speichern"
"Edit","Bearbeiten"
"SEO Autolink Import","SEO-Autolink-Import"
"Import links (.csv)","Links importieren (.csv)"
"Import links","Links importieren"
"This is a required field.","Dies ist ein Pflichtfeld."
"Download example CSV file for autolink import","Beispiel-CSV-Datei für den Autolink-Import herunterladen"
"Example of CSV file","Beispiel einer CSV-Datei"
"SEO Autolink Export","SEO-Autolink-Export"
"Export links (.csv)","Links exportieren (.csv)"
"Export links","Links exportieren"
"Cross-links settings","Cross-Links-Einstellungen"
"Configure how cross-linking behaves across your site content to enhance internal linking structure.","Konfigurieren Sie, wie Cross-Linking im gesamten Website-Inhalt funktioniert, um die interne Verlinkungsstruktur zu verbessern."
"Allowed areas for cross-links","Erlaubte Bereiche für Cross-Links"
"Select specific content areas where cross-links should be automatically inserted. Limiting to relevant areas improves page load performance.","Wählen Sie bestimmte Inhaltsbereiche aus, in denen Cross-Links automatisch eingefügt werden sollen. Die Beschränkung auf relevante Bereiche verbessert die Seitenladegeschwindigkeit."
"Restrict link placement in tags","Linkplatzierung in Tags einschränken"
"Specify HTML tags where links should not be inserted (e.g., h1, h2, a, strong). Enter one tag per line without brackets.","HTML-Tags angeben, in denen keine Links eingefügt werden sollen (z. B. h1, h2, a, strong). Geben Sie ein Tag pro Zeile ohne Klammern ein."
"Prevent adding cross-links on pages","Hinzufügen von Cross-Links auf Seiten verhindern"
"Enter URL patterns (one per line) where cross-links should be disabled. Use * as wildcard (e.g., catalog/product/* or */checkout).","URL-Muster eingeben (eines pro Zeile), bei denen Cross-Links deaktiviert werden sollen. Verwenden Sie * als Platzhalter (z. B. catalog/product/* oder */checkout)."
"Template paths for link insertion","Vorlagenpfade für die Linkeinbindung"
"Specify template file paths (one per line) where links should be inserted. Note: Processing will fail for templates exceeding 1000 HTML tags due to memory constraints.","Vorlagendateipfade angeben (einen pro Zeile), in die Links eingefügt werden sollen. Hinweis: Die Verarbeitung schlägt bei Vorlagen mit mehr als 1000 HTML-Tags aufgrund von Speicherbeschränkungen fehl."
"Max number of links per page","Maximale Anzahl von Links pro Seite"
"Set maximum number of auto-generated cross-links per page. Lower values may improve page load time and prevent over-optimization.","Maximale Anzahl automatisch generierter Cross-Links pro Seite festlegen. Niedrigere Werte können die Seitenladezeit verbessern und Überoptimierung verhindern."
"Avoid duplicate URLs in cross-links","Doppelte URLs in Cross-Links vermeiden"
"When enabled, if multiple keywords point to the same URL, only the first occurrence will be linked. This prevents duplicate links and improves page load performance.","Wenn aktiviert und mehrere Keywords auf dieselbe URL verweisen, wird nur das erste Vorkommen verlinkt. Dies verhindert doppelte Links und verbessert die Seitenladegeschwindigkeit."
"General information","Allgemeine Informationen"
"Keyword","Keyword"
"URL","URL"
"URL target","URL-Ziel"
"URL title","URL-Titel"
"Nofollow","Nofollow"
"Number of substitutions","Anzahl der Ersetzungen"
"Sort order","Sortierreihenfolge"
"Occurrence","Vorkommen"
"Is active","Ist aktiv"
"Active from","Aktiv ab"
"Active to","Aktiv bis"
"Visible in store view","In Shop-Ansicht sichtbar"
"Change status","Status ändern"
"Active","Aktiv"
"Inactive","Inaktiv"
"Delete items","Elemente löschen"
"Are you sure you want to delete the selected items?","Sind Sie sicher, dass Sie die ausgewählten Elemente löschen möchten?"
"ID","ID"
"Store view","Shop-Ansicht"
"Status","Status"
"Is nofollow","Ist nofollow"
"Max replacements","Maximale Ersetzungen"
"Link type","Linktyp"
"Entity ID","Entitäts-ID"
"Enter the product ID or category ID. The current URL for this entity will be resolved automatically when the link is inserted.","Geben Sie die Produkt-ID oder Kategorie-ID ein. Die aktuelle URL für diese Entität wird beim Einfügen des Links automatisch aufgelöst."
"Custom URL","Benutzerdefinierte URL"
"Product by ID","Produkt nach ID"
"Category by ID","Kategorie nach ID"
"URL is required for custom URL links.","URL ist für benutzerdefinierte URL-Links erforderlich."
"Entity ID is required for product/category links.","Entitäts-ID ist für Produkt-/Kategorie-Links erforderlich."
