"Conditions","Koşullar"
"Wrong request.","Yanlış istek."
"Rich snippet extender has been deleted.","Zengin snippet genişletici silindi."
"Edit rich snippet extender","Zengin snippet genişleticiyi düzenle"
"Rich snippet extender with ID ""%1"" does not exist.","ID ""%1"" olan zengin snippet genişletici mevcut değil."
"Rich snippet extenders","Zengin snippet genişleticiler"
"New rich snippet extender","Yeni zengin snippet genişletici"
"No data to save.","Kaydedilecek veri yok."
"Rich snippet extender no longer exists.","Zengin snippet genişletici artık mevcut değil."
"Incorrect JSON format","Yanlış JSON formatı"
"Rich snippet extender has been saved.","Zengin snippet genişletici kaydedildi."
"Disabled","Devre dışı"
"Use description","Açıklamayı kullan"
"Use meta description","Meta açıklamayı kullan"
"No","Hayır"
"Yes, for all categories","Evet, tüm kategoriler için"
"Yes, only for non-filtered categories","Evet, yalnızca filtrelenmemiş kategoriler için"
"Full (OfferCatalog)","Tam (OfferCatalog)"
"Simple (ItemList)","Basit (ItemList)"
"Aggregate Product","Toplu Ürün"
"Current page","Mevcut sayfa"
"Entire category","Tüm kategori"
"Yes, for all landing pages","Evet, tüm açılış sayfaları için"
"Yes, only for non-filtered landing pages","Evet, yalnızca filtrelenmemiş açılış sayfaları için"
"Entire landing page","Tüm açılış sayfası"
"Homepage only","Yalnızca ana sayfa"
"All CMS pages","Tüm CMS sayfaları"
"Specific CMS pages","Belirli CMS sayfaları"
"Add from store information","Mağaza bilgilerinden ekle"
"Add manually","Manuel olarak ekle"
"Default (from configuration)","Varsayılan (yapılandırmadan)"
"WebPage","WebPage"
"Article","Article"
"BlogPosting","BlogPosting"
"AboutPage","AboutPage"
"ContactPage","ContactPage"
"Use short description","Kısa açıklamayı kullan"
"Configure manually","Manuel olarak yapılandır"
"New for all products","Tüm ürünler için yeni"
"Kilograms (kg)","Kilogram (kg)"
"Pounds (lb)","Pound (lb)"
"Grams (g)","Gram (g)"
"Search in the catalog of products","Ürün kataloğunda ara"
"Search in the blog articles","Blog makalelerinde ara"
"Summary card","Özet kart"
"Summary card with large image","Büyük resimli özet kart"
"The rich snippet extender with ID ""%1"" doesn't exist.","ID ""%1"" olan zengin snippet genişletici mevcut değil."
"Edit","Düzenle"
"Delete","Sil"
"Delete record with ID %1","ID %1 olan kaydı sil"
"Are you sure you want to delete this rich snippet extender?","Bu zengin snippet genişleticiyi silmek istediğinizden emin misiniz?"
"Template variables","Şablon değişkenleri"
"learn more","daha fazla bilgi edinin"
"Double click on a variable to insert it into the field","Değişkeni alana eklemek için üzerine çift tıklayın"
"Learn more about template variables","Şablon değişkenleri hakkında daha fazla bilgi edinin"
"Rich snippets and OpenGraph","Zengin snippet'ler ve OpenGraph"
"Product page","Ürün sayfası"
"Configure rich snippets for product pages to improve search engine visibility. These settings enhance how your products appear in search results with additional information like pricing, availability, and reviews.","Arama motoru görünürlüğünü artırmak için ürün sayfaları için zengin snippet'leri yapılandırın. Bu ayarlar, ürünlerinizin arama sonuçlarında fiyatlandırma, müsaitlik ve incelemeler gibi ek bilgilerle nasıl göründüğünü geliştirir."
"Delete wrong snippets automatically","Yanlış snippet'leri otomatik olarak sil"
