"Conditions","Умови"
"Rule conditions (leave blank to use only regular expression)","Умови правила (залиште порожнім, щоб використовувати лише регулярний вираз)"
"Checklist","Контрольний список"
"Duplicateinfo","Інформація про дублікати"
"Store Id","ID магазину"
"Category Path","Шлях категорії"
"Category Id","ID категорії"
"Current request path","Поточний шлях запиту"
"URL key","Ключ URL"
"Root Catalog (ID: 1)","Кореневий каталог (ID: 1)"
"(ID: %1)","(ID: %1)"
"Redirects","Перенаправлення"
"Canonical rewrite","Перезапис canonical"
"Cross-links","Перехресні посилання"
"Sitemap","Карта сайту"
"Settings","Налаштування"
"User manual","Посібник користувача"
"Get support","Отримати підтримку"
"Add New Redirect","Додати нове перенаправлення"
"Import/Export redirects","Імпорт/Експорт перенаправлень"
"Rewrite manager","Менеджер перезаписів"
"Add rewrite","Додати перезапис"
"Store group","Група магазинів"
"Hreflang","Hreflang"
"Store","Магазин"
"Add","Додати"
"(Id: %1)","(Id: %1)"
"Stores","Магазини"
"button_label","button_label"
"Attribute","Атрибут"
"Usage","Використання"
"Page type","Тип сторінки"
"Remove parent category path","Видалити шлях батьківської категорії"
"URL pattern","Шаблон URL"
"Option","Опція"
"Meta title","Мета-заголовок"
"Meta keywords","Мета-ключові слова"
"Meta description","Мета-опис"
"Title (H1)","Заголовок (H1)"
"SEO description","SEO-опис"
"Product short description","Короткий опис товару"
"Product description","Опис товару"
"Add SEO Template","Додати SEO-шаблон"
"Home","Головна"
"Go to Home Page","Перейти на головну сторінку"
"SEO","SEO"
"This row no longer exists.","Цей рядок більше не існує."
"New canonical rewrite","Новий перезапис canonical"
"%1 item(s) was removed","%1 елемент(ів) видалено"
"Please select item(s)","Будь ласка, виберіть елемент(и)"
"Edit canonical rewrite ID: %1","Редагувати перезапис canonical ID: %1"
"Total of %1 record(s) were successfully disabled","Всього %1 запис(ів) успішно вимкнено"
"Total of %1 record(s) were successfully enabled","Всього %1 запис(ів) успішно увімкнено"
"Row was saved.","Рядок збережено."
"No data to save.","Немає даних для збереження."
"SEO Checklist","SEO-контрольний список"
"Create a unique url key for all of your categories listed on this table. If the table is empty, this means that you do not have duplicate keys and can push the ""<a href=""%1"" target=""_blank"">Remove parent category path</a>"" button to change category urls.","Створіть унікальний ключ URL для всіх категорій, перелічених у цій таблиці. Якщо таблиця порожня, у вас немає дублікатів ключів і ви можете натиснути кнопку ""<a href=""%1"" target=""_blank"">Видалити шлях батьківської категорії</a>"", щоб змінити URL категорій."
"Category duplicate urls","Дублюючі URL категорій"
"Add redirect","Додати перенаправлення"
"Item was successfully deleted","Елемент успішно видалено"
"Edit redirect","Редагувати перенаправлення"
"The item does not exist.","Елемент не існує."
"Total of %1 record(s) were successfully deleted","Всього %1 запис(ів) успішно видалено"
"Item was successfully saved","Елемент успішно збережено"
"Unable to find an item to save","Не вдалося знайти елемент для збереження"
